fn,ln,num,pos,min,sec,totsec,fga,fgm,tpa,tpm,fta,ftm,oreb,dreb,reb,ast,stl,blk,pf,pts,tov,fbpts,fbptsa,fbptsm,pip,pipa,pipm,court,pid,pm,blka,tf,status,memo,gid,hm_away,team,game_date,full_name,epoch,full_dt
Marcus,Morris Sr.,13,SF,24,52,1492,11,4,6,1,1,1,1,2,3,0,0,0,2,10,3,0,0,0,6,4,3,0,202694,-25,1,0,A,,0021900355,A,NYK,2019-12-10,Marcus Morris Sr.,1576041894839,2019-12-11 05:24:54.839
Julius,Randle,30,PF,25,41,1541,11,6,4,1,3,2,1,6,7,3,1,0,2,15,2,2,0,0,10,6,5,0,203944,-21,0,0,A,,0021900355,A,NYK,2019-12-10,Julius Randle,1576041894839,2019-12-11 05:24:54.839
Taj,Gibson,67,C,16,20,980,2,0,1,0,0,0,1,3,4,2,1,0,3,0,2,0,0,0,0,1,0,0,201959,-20,1,0,A,,0021900355,A,NYK,2019-12-10,Taj Gibson,1576041894839,2019-12-11 05:24:54.839
RJ,Barrett,9,SG,18,52,1132,9,1,2,0,4,3,0,4,4,0,0,0,0,5,0,2,2,1,2,5,1,0,1629628,-18,2,0,A,,0021900355,A,NYK,2019-12-10,RJ Barrett,1576041894839,2019-12-11 05:24:54.839
Frank,Ntilikina,11,PG,17,53,1073,5,1,2,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,2,2,1,0,1628373,-21,1,0,A,,0021900355,A,NYK,2019-12-10,Frank Ntilikina,1576041894839,2019-12-11 05:24:54.839
Dennis,Smith Jr.,5,,13,36,816,7,2,2,1,2,0,1,3,4,0,0,0,1,5,0,2,1,1,2,5,1,0,1628372,-8,0,0,A,,0021900355,A,NYK,2019-12-10,Dennis Smith Jr.,1576041894839,2019-12-11 05:24:54.839
Mitchell,Robinson,23,,27,19,1639,8,5,0,0,7,4,4,1,5,0,0,1,3,14,1,2,1,1,10,8,5,1,1629011,-6,1,0,A,,0021900355,A,NYK,2019-12-10,Mitchell Robinson,1576041894839,2019-12-11 05:24:54.839
Bobby,Portis,1,,19,43,1183,9,4,3,0,4,3,2,8,10,0,1,1,2,11,1,0,0,0,8,6,4,0,1626171,-5,0,0,A,,0021900355,A,NYK,2019-12-10,Bobby Portis,1576041894839,2019-12-11 05:24:54.839
Damyean,Dotson,21,,23,6,1386,8,3,6,2,0,0,1,3,4,0,0,0,0,8,0,3,2,1,2,2,1,1,1628422,-8,0,0,A,,0021900355,A,NYK,2019-12-10,Damyean Dotson,1576041894839,2019-12-11 05:24:54.839
Kevin,Knox II,20,,20,18,1218,7,1,4,0,0,0,0,3,3,3,0,1,1,2,0,0,1,0,2,3,1,1,1628995,-3,0,0,A,,0021900355,A,NYK,2019-12-10,Kevin Knox II,1576041894839,2019-12-11 05:24:54.839
Elfrid,Payton,6,,12,32,752,4,1,2,0,0,0,0,2,2,4,1,0,2,2,0,0,0,0,2,2,1,0,203901,-2,1,0,A,,0021900355,A,NYK,2019-12-10,Elfrid Payton,1576041894839,2019-12-11 05:24:54.839
Allonzo,Trier,14,,14,22,862,9,4,5,2,5,3,0,0,0,2,0,0,0,13,1,2,2,1,2,3,1,1,1629019,-1,0,0,A,,0021900355,A,NYK,2019-12-10,Allonzo Trier,1576041894839,2019-12-11 05:24:54.839
Ignas,Brazdeikis,17,,5,25,325,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1629649,-2,0,0,A,,0021900355,A,NYK,2019-12-10,Ignas Brazdeikis,1576041894839,2019-12-11 05:24:54.839
Kadeem,Allen,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628443,0,0,0,I,,0021900355,A,NYK,2019-12-10,Kadeem Allen,1576041894839,2019-12-11 05:24:54.839
Reggie,Bullock,25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203493,0,0,0,I,,0021900355,A,NYK,2019-12-10,Reggie Bullock,1576041894839,2019-12-11 05:24:54.839
Wayne,Ellington,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201961,0,0,0,I,,0021900355,A,NYK,2019-12-10,Wayne Ellington,1576041894839,2019-12-11 05:24:54.839
Ivan,Rabb,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628397,0,0,0,I,,0021900355,A,NYK,2019-12-10,Ivan Rabb,1576041894839,2019-12-11 05:24:54.839
Kent,Bazemore,24,SF,21,49,1309,5,1,3,0,2,2,0,3,3,0,1,0,1,4,1,0,2,0,2,1,1,0,203145,18,0,0,A,,0021900355,H,POR,2019-12-10,Kent Bazemore,1576041894839,2019-12-11 05:24:54.839
