ast,blk,blka,court,dreb,epoch,fbpts,fbptsa,fbptsm,fga,fgm,fn,fta,ftm,full_dt,full_name,game_date,gid,hm_away,ln,memo,min,num,oreb,pf,pid,pip,pipa,pipm,pm,pos,pts,reb,season,sec,status,stl,team,tf,totsec,tov,tpa,tpm
3,0,0,1,8,1576152125755,6,2,2,18,10,Marcus,12,11,2019-12-12 12:02:05.755,Marcus Morris Sr.,2019-12-11,0021900366,A,Morris Sr.,,36,13,2,3,202694,6,3,3,5,SF,36,10,2019-2020,28,A,3,NYK,0,2188,1,9,5
5,0,3,1,10,1576152125755,4,2,2,16,7,Julius,10,7,2019-12-12 12:02:05.755,Julius Randle,2019-12-11,0021900366,A,Randle,,38,30,3,4,203944,8,12,4,13,PF,24,13,2019-2020,7,A,0,NYK,0,2287,4,4,3
1,1,1,0,4,1576152125755,0,0,0,1,0,Taj,0,0,2019-12-12 12:02:05.755,Taj Gibson,2019-12-11,0021900366,A,Gibson,,13,67,0,0,201959,0,1,0,3,C,0,4,2019-2020,47,A,0,NYK,0,827,0,0,0
3,1,2,1,10,1576152125755,3,1,1,16,8,RJ,4,3,2019-12-12 12:02:05.755,RJ Barrett,2019-12-11,0021900366,A,Barrett,,46,9,0,5,1629628,10,10,5,0,SG,22,10,2019-2020,4,A,1,NYK,0,2764,3,5,3
1,0,0,0,0,1576152125755,0,0,0,3,1,Frank,0,0,2019-12-12 12:02:05.755,Frank Ntilikina,2019-12-11,0021900366,A,Ntilikina,,13,11,0,4,1628373,0,1,0,-10,PG,2,0,2019-2020,26,A,0,NYK,0,806,4,1,0
5,0,0,1,2,1576152125755,2,1,1,14,7,Elfrid,0,0,2019-12-12 12:02:05.755,Elfrid Payton,2019-12-11,0021900366,A,Payton,,29,6,2,2,203901,14,11,7,-1,,14,4,2019-2020,35,A,1,NYK,0,1775,5,3,0
1,3,0,1,4,1576152125755,0,0,0,7,4,Mitchell,2,1,2019-12-12 12:02:05.755,Mitchell Robinson,2019-12-11,0021900366,A,Robinson,,29,23,5,3,1629011,8,7,4,-4,,9,9,2019-2020,53,A,0,NYK,0,1793,0,0,0
1,2,0,0,3,1576152125755,0,0,0,4,1,Kevin,0,0,2019-12-12 12:02:05.755,Kevin Knox II,2019-12-11,0021900366,A,Knox II,,16,20,0,1,1628995,2,1,1,-3,,2,3,2019-2020,32,A,0,NYK,0,992,0,2,0
3,0,0,0,2,1576152125755,0,0,0,3,0,Damyean,1,0,2019-12-12 12:02:05.755,Damyean Dotson,2019-12-11,0021900366,A,Dotson,,16,21,0,2,1628422,0,0,0,15,,0,2,2019-2020,54,A,0,NYK,0,1014,0,2,0
2,0,0,0,3,1576152125755,2,1,1,8,5,Bobby,5,4,2019-12-12 12:02:05.755,Bobby Portis,2019-12-11,0021900366,A,Portis,,24,1,0,0,1626171,6,4,3,-8,,15,3,2019-2020,12,A,0,NYK,0,1452,1,3,1
