,GID,GAME_DATE,ATTENDANCE,GAME_TIME,SEASON
0,0020600001,"TUESDAY, OCTOBER 31, 2006",20229,2:26,2006-2007
1,0020600002,"TUESDAY, OCTOBER 31, 2006",18997,2:20,2006-2007
2,0020600003,"WEDNESDAY, NOVEMBER 1, 2006",17119,2:20,2006-2007
3,0020600004,"WEDNESDAY, NOVEMBER 1, 2006",18518,2:30,2006-2007
4,0020600005,"WEDNESDAY, NOVEMBER 1, 2006",17451,2:27,2006-2007
5,0020600006,"WEDNESDAY, NOVEMBER 1, 2006",18624,2:33,2006-2007
6,0020600007,"WEDNESDAY, NOVEMBER 1, 2006",18646,2:12,2006-2007
7,0020600008,"WEDNESDAY, NOVEMBER 1, 2006",22076,2:20,2006-2007
8,0020600009,"WEDNESDAY, NOVEMBER 1, 2006",20562,2:32,2006-2007
9,0020600010,"WEDNESDAY, NOVEMBER 1, 2006",17113,3:29,2006-2007
10,0020600011,"WEDNESDAY, NOVEMBER 1, 2006",19356,2:11,2006-2007
11,0020600012,"WEDNESDAY, NOVEMBER 1, 2006",18133,2:15,2006-2007
12,0020600013,"WEDNESDAY, NOVEMBER 1, 2006",17072,2:22,2006-2007
13,0020600014,"WEDNESDAY, NOVEMBER 1, 2006",18422,2:32,2006-2007
14,0020600015,"WEDNESDAY, NOVEMBER 1, 2006",19596,2:24,2006-2007
15,0020600016,"THURSDAY, NOVEMBER 2, 2006",20416,2:36,2006-2007
16,0020600017,"THURSDAY, NOVEMBER 2, 2006",18050,2:41,2006-2007
17,0020600018,"FRIDAY, NOVEMBER 3, 2006",19832,2:09,2006-2007
18,0020600019,"FRIDAY, NOVEMBER 3, 2006",17451,2:40,2006-2007
19,0020600020,"FRIDAY, NOVEMBER 3, 2006",18165,2:13,2006-2007
20,0020600021,"FRIDAY, NOVEMBER 3, 2006",18624,2:11,2006-2007
21,0020600022,"FRIDAY, NOVEMBER 3, 2006",19604,2:25,2006-2007
22,0020600023,"FRIDAY, NOVEMBER 3, 2006",19600,2:19,2006-2007
23,0020600024,"FRIDAY, NOVEMBER 3, 2006",13787,2:22,2006-2007
24,0020600025,"FRIDAY, NOVEMBER 3, 2006",18797,2:44,2006-2007
25,0020600026,"FRIDAY, NOVEMBER 3, 2006",22454,2:27,2006-2007
26,0020600027,"FRIDAY, NOVEMBER 3, 2006",19234,2:17,2006-2007
27,0020600028,"FRIDAY, NOVEMBER 3, 2006",18422,2:21,2006-2007
28,0020600029,"FRIDAY, NOVEMBER 3, 2006",18997,2:26,2006-2007
29,0020600030,"FRIDAY, NOVEMBER 3, 2006",17204,2:13,2006-2007
30,0020600031,"SATURDAY, NOVEMBER 4, 2006",20173,2:28,2006-2007
31,0020600032,"SATURDAY, NOVEMBER 4, 2006",19147,2:38,2006-2007
32,0020600033,"SATURDAY, NOVEMBER 4, 2006",19763,2:16,2006-2007
33,0020600034,"SATURDAY, NOVEMBER 4, 2006",22076,2:18,2006-2007
34,0020600035,"SATURDAY, NOVEMBER 4, 2006",18717,2:07,2006-2007
35,0020600036,"SATURDAY, NOVEMBER 4, 2006",18245,2:17,2006-2007
36,0020600037,"SATURDAY, NOVEMBER 4, 2006",18641,2:05,2006-2007
37,0020600038,"SATURDAY, NOVEMBER 4, 2006",20113,2:06,2006-2007
38,0020600039,"SATURDAY, NOVEMBER 4, 2006",18643,2:24,2006-2007
39,0020600040,"SUNDAY, NOVEMBER 5, 2006",18098,2:12,2006-2007
40,0020600041,"SUNDAY, NOVEMBER 5, 2006",16644,2:24,2006-2007
41,0020600042,"SUNDAY, NOVEMBER 5, 2006",14896,2:16,2006-2007
42,0020600043,"SUNDAY, NOVEMBER 5, 2006",18202,2:19,2006-2007
43,0020600044,"SUNDAY, NOVEMBER 5, 2006",17072,2:24,2006-2007
44,0020600045,"MONDAY, NOVEMBER 6, 2006",15618,2:21,2006-2007
45,0020600046,"MONDAY, NOVEMBER 6, 2006",18333,2:21,2006-2007
46,0020600047,"MONDAY, NOVEMBER 6, 2006",21715,2:04,2006-2007
47,0020600048,"MONDAY, NOVEMBER 6, 2006",20093,2:08,2006-2007
48,0020600049,"MONDAY, NOVEMBER 6, 2006",18600,2:16,2006-2007
49,0020600050,"MONDAY, NOVEMBER 6, 2006",17317,2:05,2006-2007
50,0020600051,"MONDAY, NOVEMBER 6, 2006",16153,2:17,2006-2007
51,0020600052,"TUESDAY, NOVEMBER 7, 2006",20562,2:43,2006-2007
52,0020600053,"TUESDAY, NOVEMBER 7, 2006",15811,2:09,2006-2007
53,0020600054,"TUESDAY, NOVEMBER 7, 2006",19600,2:26,2006-2007
54,0020600055,"TUESDAY, NOVEMBER 7, 2006",14173,2:14,2006-2007
55,0020600056,"TUESDAY, NOVEMBER 7, 2006",19164,2:13,2006-2007
56,0020600057,"TUESDAY, NOVEMBER 7, 2006",18997,2:18,2006-2007
57,0020600058,"WEDNESDAY, NOVEMBER 8, 2006",15831,2:17,2006-2007
58,0020600059,"WEDNESDAY, NOVEMBER 8, 2006",16031,2:18,2006-2007
59,0020600060,"WEDNESDAY, NOVEMBER 8, 2006",16312,2:17,2006-2007
60,0020600061,"WEDNESDAY, NOVEMBER 8, 2006",15183,2:48,2006-2007
61,0020600062,"WEDNESDAY, NOVEMBER 8, 2006",15901,2:21,2006-2007
62,0020600063,"WEDNESDAY, NOVEMBER 8, 2006",16102,2:14,2006-2007
63,0020600064,"WEDNESDAY, NOVEMBER 8, 2006",18797,2:42,2006-2007
64,0020600065,"WEDNESDAY, NOVEMBER 8, 2006",14315,2:26,2006-2007
65,0020600066,"WEDNESDAY, NOVEMBER 8, 2006",17022,2:17,2006-2007
66,0020600067,"WEDNESDAY, NOVEMBER 8, 2006",18538,2:14,2006-2007
67,0020600068,"WEDNESDAY, NOVEMBER 8, 2006",17317,2:31,2006-2007
68,0020600069,"THURSDAY, NOVEMBER 9, 2006",19947,2:15,2006-2007
69,0020600070,"THURSDAY, NOVEMBER 9, 2006",18422,2:39,2006-2007
70,0020600071,"THURSDAY, NOVEMBER 9, 2006",16927,2:24,2006-2007
71,0020600072,"FRIDAY, NOVEMBER 10, 2006",14680,2:10,2006-2007
72,0020600073,"FRIDAY, NOVEMBER 10, 2006",16374,2:19,2006-2007
73,0020600074,"FRIDAY, NOVEMBER 10, 2006",19554,2:29,2006-2007
74,0020600075,"FRIDAY, NOVEMBER 10, 2006",13515,2:09,2006-2007
75,0020600076,"FRIDAY, NOVEMBER 10, 2006",18165,2:21,2006-2007
76,0020600077,"FRIDAY, NOVEMBER 10, 2006",18624,2:10,2006-2007
