,GID,GAME_DATE,ATTENDANCE,GAME_TIME,SEASON
0,0021800001,"TUESDAY, OCTOBER 16, 2018",18624,2:19,2018-2019
1,0021800002,"TUESDAY, OCTOBER 16, 2018",19596,2:25,2018-2019
2,0021800003,"WEDNESDAY, OCTOBER 17, 2018",17889,2:16,2018-2019
3,0021800004,"WEDNESDAY, OCTOBER 17, 2018",20332,2:24,2018-2019
4,0021800005,"WEDNESDAY, OCTOBER 17, 2018",17923,2:08,2018-2019
5,0021800006,"WEDNESDAY, OCTOBER 17, 2018",19191,2:28,2018-2019
6,0021800007,"WEDNESDAY, OCTOBER 17, 2018",18249,2:14,2018-2019
7,0021800008,"WEDNESDAY, OCTOBER 17, 2018",19915,2:23,2018-2019
8,0021800009,"WEDNESDAY, OCTOBER 17, 2018",18055,2:15,2018-2019
9,0021800010,"WEDNESDAY, OCTOBER 17, 2018",18354,2:17,2018-2019
10,0021800011,"WEDNESDAY, OCTOBER 17, 2018",17583,2:21,2018-2019
11,0021800012,"WEDNESDAY, OCTOBER 17, 2018",19068,2:30,2018-2019
12,0021800013,"WEDNESDAY, OCTOBER 17, 2018",18055,2:15,2018-2019
13,0021800014,"THURSDAY, OCTOBER 18, 2018",20302,2:16,2018-2019
14,0021800015,"THURSDAY, OCTOBER 18, 2018",20409,2:37,2018-2019
15,0021800016,"THURSDAY, OCTOBER 18, 2018",19996,2:29,2018-2019
16,0021800017,"FRIDAY, OCTOBER 19, 2018",17668,2:06,2018-2019
17,0021800018,"FRIDAY, OCTOBER 19, 2018",17732,2:17,2018-2019
18,0021800019,"FRIDAY, OCTOBER 19, 2018",19800,2:13,2018-2019
19,0021800020,"FRIDAY, OCTOBER 19, 2018",17019,2:26,2018-2019
20,0021800021,"FRIDAY, OCTOBER 19, 2018",18978,2:25,2018-2019
21,0021800022,"FRIDAY, OCTOBER 19, 2018",18337,2:13,2018-2019
22,0021800023,"FRIDAY, OCTOBER 19, 2018",17341,2:12,2018-2019
23,0021800024,"FRIDAY, OCTOBER 19, 2018",18306,2:28,2018-2019
24,0021800025,"FRIDAY, OCTOBER 19, 2018",14816,2:22,2018-2019
25,0021800026,"SATURDAY, OCTOBER 20, 2018",17007,2:08,2018-2019
26,0021800027,"SATURDAY, OCTOBER 20, 2018",16185,2:32,2018-2019
27,0021800028,"SATURDAY, OCTOBER 20, 2018",19427,2:24,2018-2019
28,0021800029,"SATURDAY, OCTOBER 20, 2018",20300,2:09,2018-2019
29,0021800030,"SATURDAY, OCTOBER 20, 2018",19600,2:25,2018-2019
30,0021800031,"SATURDAY, OCTOBER 20, 2018",21289,2:17,2018-2019
31,0021800032,"SATURDAY, OCTOBER 20, 2018",20205,2:32,2018-2019
32,0021800033,"SATURDAY, OCTOBER 20, 2018",19592,2:25,2018-2019
33,0021800034,"SATURDAY, OCTOBER 20, 2018",19461,2:00,2018-2019
34,0021800035,"SATURDAY, OCTOBER 20, 2018",18997,2:27,2018-2019
35,0021800036,"SUNDAY, OCTOBER 21, 2018",19432,2:13,2018-2019
36,0021800037,"SUNDAY, OCTOBER 21, 2018",18203,2:21,2018-2019
37,0021800038,"SUNDAY, OCTOBER 21, 2018",19520,2:25,2018-2019
38,0021800039,"SUNDAY, OCTOBER 21, 2018",16149,2:10,2018-2019
39,0021800040,"MONDAY, OCTOBER 22, 2018",18624,1:58,2018-2019
40,0021800041,"MONDAY, OCTOBER 22, 2018",19800,2:00,2018-2019
41,0021800042,"MONDAY, OCTOBER 22, 2018",16228,2:06,2018-2019
42,0021800043,"MONDAY, OCTOBER 22, 2018",10371,2:08,2018-2019
43,0021800044,"MONDAY, OCTOBER 22, 2018",19291,2:16,2018-2019
44,0021800045,"MONDAY, OCTOBER 22, 2018",18306,2:24,2018-2019
45,0021800046,"MONDAY, OCTOBER 22, 2018",19187,2:31,2018-2019
46,0021800047,"MONDAY, OCTOBER 22, 2018",19596,2:05,2018-2019
47,0021800048,"MONDAY, OCTOBER 22, 2018",18997,2:38,2018-2019
48,0021800049,"TUESDAY, OCTOBER 23, 2018",14418,2:50,2018-2019
49,0021800050,"TUESDAY, OCTOBER 23, 2018",14625,2:22,2018-2019
50,0021800051,"TUESDAY, OCTOBER 23, 2018",13214,2:04,2018-2019
51,0021800052,"WEDNESDAY, OCTOBER 24, 2018",16705,2:34,2018-2019
52,0021800053,"WEDNESDAY, OCTOBER 24, 2018",19432,2:04,2018-2019
53,0021800054,"WEDNESDAY, OCTOBER 24, 2018",19600,2:07,2018-2019
54,0021800055,"WEDNESDAY, OCTOBER 24, 2018",19800,2:08,2018-2019
55,0021800056,"WEDNESDAY, OCTOBER 24, 2018",19170,2:23,2018-2019
56,0021800057,"WEDNESDAY, OCTOBER 24, 2018",18055,2:08,2018-2019
57,0021800058,"WEDNESDAY, OCTOBER 24, 2018",18354,1:58,2018-2019
58,0021800059,"WEDNESDAY, OCTOBER 24, 2018",17341,2:33,2018-2019
59,0021800060,"WEDNESDAY, OCTOBER 24, 2018",18055,2:03,2018-2019
60,0021800061,"WEDNESDAY, OCTOBER 24, 2018",14198,2:15,2018-2019
61,0021800062,"WEDNESDAY, OCTOBER 24, 2018",19596,2:12,2018-2019
62,0021800063,"THURSDAY, OCTOBER 25, 2018",15896,2:20,2018-2019
63,0021800064,"THURSDAY, OCTOBER 25, 2018",15114,2:00,2018-2019
64,0021800065,"THURSDAY, OCTOBER 25, 2018",18203,2:29,2018-2019
65,0021800066,"THURSDAY, OCTOBER 25, 2018",18997,2:21,2018-2019
66,0021800067,"FRIDAY, OCTOBER 26, 2018",15220,2:05,2018-2019
67,0021800068,"FRIDAY, OCTOBER 26, 2018",19812,2:04,2018-2019
68,0021800069,"FRIDAY, OCTOBER 26, 2018",19800,2:09,2018-2019
69,0021800070,"FRIDAY, OCTOBER 26, 2018",18055,2:16,2018-2019
70,0021800071,"FRIDAY, OCTOBER 26, 2018",16334,1:59,2018-2019
71,0021800072,"FRIDAY, OCTOBER 26, 2018",15272,2:17,2018-2019
72,0021800073,"FRIDAY, OCTOBER 26, 2018",14101,2:26,2018-2019
73,0021800074,"SATURDAY, OCTOBER 27, 2018",18120,2:09,2018-2019
74,0021800075,"SATURDAY, OCTOBER 27, 2018",16373,2:20,2018-2019
75,0021800076,"SATURDAY, OCTOBER 27, 2018",15549,2:08,2018-2019
76,0021800077,"SATURDAY, OCTOBER 27, 2018",19432,2:09,2018-2019
77,0021800078,"SATURDAY, OCTOBER 27, 2018",20203,2:22,2018-2019
78,0021800079,"SATURDAY, OCTOBER 27, 2018",19600,2:15,2018-2019
79,0021800080,"SATURDAY, OCTOBER 27, 2018",15926,2:03,2018-2019
80,0021800081,"SATURDAY, OCTOBER 27, 2018",17341,2:02,2018-2019
81,0021800082,"SATURDAY, OCTOBER 27, 2018",18589,2:15,2018-2019
82,0021800083,"SUNDAY, OCTOBER 28, 2018",17732,2:06,2018-2019
83,0021800084,"SUNDAY, OCTOBER 28, 2018",19571,2:23,2018-2019
84,0021800085,"SUNDAY, OCTOBER 28, 2018",18203,2:19,2018-2019
85,0021800086,"SUNDAY, OCTOBER 28, 2018",16491,2:08,2018-2019
86,0021800087,"MONDAY, OCTOBER 29, 2018",15788,2:09,2018-2019
87,0021800088,"MONDAY, OCTOBER 29, 2018",20269,2:05,2018-2019
88,0021800089,"MONDAY, OCTOBER 29, 2018",19600,2:12,2018-2019
89,0021800090,"MONDAY, OCTOBER 29, 2018",19221,2:12,2018-2019
90,0021800091,"MONDAY, OCTOBER 29, 2018",21076,2:05,2018-2019
91,0021800092,"MONDAY, OCTOBER 29, 2018",17341,2:08,2018-2019
92,0021800093,"MONDAY, OCTOBER 29, 2018",18978,2:19,2018-2019
93,0021800094,"MONDAY, OCTOBER 29, 2018",18354,2:25,2018-2019
94,0021800095,"MONDAY, OCTOBER 29, 2018",15217,2:11,2018-2019
95,0021800096,"TUESDAY, OCTOBER 30, 2018",14117,2:13,2018-2019
96,0021800097,"TUESDAY, OCTOBER 30, 2018",19432,2:15,2018-2019
97,0021800098,"TUESDAY, OCTOBER 30, 2018",15074,2:10,2018-2019
98,0021800099,"TUESDAY, OCTOBER 30, 2018",18624,2:22,2018-2019
99,0021800100,"TUESDAY, OCTOBER 30, 2018",19800,2:21,2018-2019
100,0021800101,"TUESDAY, OCTOBER 30, 2018",18055,2:03,2018-2019
101,0021800102,"TUESDAY, OCTOBER 30, 2018",14106,2:11,2018-2019
102,0021800103,"TUESDAY, OCTOBER 30, 2018",18203,2:23,2018-2019
103,0021800104,"WEDNESDAY, OCTOBER 31, 2018",12862,2:41,2018-2019
104,0021800105,"WEDNESDAY, OCTOBER 31, 2018",18295,2:20,2018-2019
105,0021800106,"WEDNESDAY, OCTOBER 31, 2018",19027,2:23,2018-2019
106,0021800107,"WEDNESDAY, OCTOBER 31, 2018",10079,2:24,2018-2019
107,0021800108,"WEDNESDAY, OCTOBER 31, 2018",19596,2:20,2018-2019
108,0021800109,"WEDNESDAY, OCTOBER 31, 2018",18997,2:20,2018-2019
109,0021800110,"WEDNESDAY, OCTOBER 31, 2018",12328,2:07,2018-2019
110,0021800111,"THURSDAY, NOVEMBER 1, 2018",14583,2:17,2018-2019
111,0021800112,"THURSDAY, NOVEMBER 1, 2018",19432,2:04,2018-2019
112,0021800113,"THURSDAY, NOVEMBER 1, 2018",20246,2:27,2018-2019
113,0021800114,"THURSDAY, NOVEMBER 1, 2018",12095,2:18,2018-2019
114,0021800115,"THURSDAY, NOVEMBER 1, 2018",18624,2:22,2018-2019
115,0021800116,"THURSDAY, NOVEMBER 1, 2018",18921,2:24,2018-2019
116,0021800117,"FRIDAY, NOVEMBER 2, 2018",15953,2:06,2018-2019
117,0021800118,"FRIDAY, NOVEMBER 2, 2018",14013,2:17,2018-2019
118,0021800119,"FRIDAY, NOVEMBER 2, 2018",20409,2:12,2018-2019
119,0021800120,"FRIDAY, NOVEMBER 2, 2018",19704,2:05,2018-2019
120,0021800121,"FRIDAY, NOVEMBER 2, 2018",20008,2:15,2018-2019
121,0021800122,"FRIDAY, NOVEMBER 2, 2018",18306,2:22,2018-2019
122,0021800123,"FRIDAY, NOVEMBER 2, 2018",15843,2:10,2018-2019
123,0021800124,"FRIDAY, NOVEMBER 2, 2018",19596,2:11,2018-2019
124,0021800125,"SATURDAY, NOVEMBER 3, 2018",20289,2:33,2018-2019
125,0021800126,"SATURDAY, NOVEMBER 3, 2018",16221,2:00,2018-2019
126,0021800127,"SATURDAY, NOVEMBER 3, 2018",17505,2:11,2018-2019
127,0021800128,"SATURDAY, NOVEMBER 3, 2018",16303,2:23,2018-2019
128,0021800129,"SATURDAY, NOVEMBER 3, 2018",20505,2:10,2018-2019
129,0021800130,"SATURDAY, NOVEMBER 3, 2018",18354,2:11,2018-2019
