,GID,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,WH_STATUS
0,0029800001,1999-02-05T00:00:00,1,0029800001,3,Final,19990205/TORBOS,1610612738,1610612761,1998-1999,4, ,,Q4   - ,1
1,0029800002,1999-02-05T00:00:00,2,0029800002,3,Final,19990205/NYKORL,1610612753,1610612752,1998-1999,4, ,,Q4   - ,1
2,0029800003,1999-02-05T00:00:00,3,0029800003,3,Final,19990205/DETMIA,1610612748,1610612765,1998-1999,4, ,,Q4   - ,1
3,0029800004,1999-02-05T00:00:00,4,0029800004,3,Final,19990205/PHICHH,1610612766,1610612755,1998-1999,4, ,,Q4   - ,1
4,0029800005,1999-02-05T00:00:00,5,0029800005,3,Final,19990205/CLEATL,1610612737,1610612739,1998-1999,4, ,,Q4   - ,1
5,0029800006,1999-02-05T00:00:00,6,0029800006,3,Final,19990205/WASIND,1610612754,1610612764,1998-1999,4, ,,Q4   - ,1
6,0029800007,1999-02-05T00:00:00,7,0029800007,3,Final,19990205/SACSAS,1610612759,1610612758,1998-1999,4, ,,Q4   - ,1
7,0029800008,1999-02-05T00:00:00,8,0029800008,3,Final,19990205/MINDEN,1610612743,1610612750,1998-1999,4, ,,Q4   - ,1
8,0029800009,1999-02-05T00:00:00,9,0029800009,3,Final,19990205/CHIUTA,1610612762,1610612741,1998-1999,4, ,,Q4   - ,1
9,0029800010,1999-02-05T00:00:00,10,0029800010,3,Final,19990205/PHXLAC,1610612746,1610612756,1998-1999,4, ,,Q4   - ,1
10,0029800011,1999-02-05T00:00:00,11,0029800011,3,Final,19990205/HOULAL,1610612747,1610612745,1998-1999,4, ,,Q4   - ,1
11,0029800012,1999-02-05T00:00:00,12,0029800012,3,Final,19990205/DALSEA,1610612760,1610612742,1998-1999,5, ,,Q5   - ,1
12,0029800013,1999-02-06T00:00:00,1,0029800013,3,Final,19990206/CLEBOS,1610612738,1610612739,1998-1999,4, ,,Q4   - ,1
13,0029800014,1999-02-06T00:00:00,2,0029800014,3,Final,19990206/ORLPHI,1610612755,1610612753,1998-1999,4, ,,Q4   - ,1
14,0029800015,1999-02-06T00:00:00,3,0029800015,3,Final,19990206/TORWAS,1610612764,1610612761,1998-1999,4, ,,Q4   - ,1
15,0029800016,1999-02-06T00:00:00,4,0029800016,3,Final,19990206/MILCHH,1610612766,1610612749,1998-1999,5, ,,Q5   - ,1
16,0029800017,1999-02-06T00:00:00,5,0029800017,3,Final,19990206/NJNATL,1610612737,1610612751,1998-1999,4, ,,Q4   - ,1
17,0029800018,1999-02-06T00:00:00,6,0029800018,3,Final,19990206/MINSAS,1610612759,1610612750,1998-1999,4, ,,Q4   - ,1
18,0029800019,1999-02-06T00:00:00,7,0029800019,3,Final,19990206/HOUGSW,1610612744,1610612745,1998-1999,4, ,,Q4   - ,1
