,GID,GAME_ID,LAST_GAME_ID,LAST_GAME_DATE_EST,LAST_GAME_HOME_TEAM_ID,LAST_GAME_HOME_TEAM_CITY,LAST_GAME_HOME_TEAM_NAME,LAST_GAME_HOME_TEAM_ABBREVIATION,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_VISITOR_TEAM_ID,LAST_GAME_VISITOR_TEAM_CITY,LAST_GAME_VISITOR_TEAM_NAME,LAST_GAME_VISITOR_TEAM_CITY1,LAST_GAME_VISITOR_TEAM_POINTS,SEASON
0,0029100001,0029100001,0029001106,1991-04-21T00:00:00,1610612758,Sacramento,Kings,SAC,105,1610612746,Los Angeles,Clippers,LAC,101,1991-1992
1,0029100002,0029100002,0029001104,1991-04-21T00:00:00,1610612759,San Antonio,Spurs,SAN,135,1610612742,Dallas,Mavericks,DAL,101,1991-1992
2,0029100003,0029100003,0029000610,1991-02-05T00:00:00,1610612753,Orlando,Magic,ORL,118,1610612752,New York,Knicks,NYK,116,1991-1992
3,0029100004,0029100004,0049000050,1991-05-14T00:00:00,1610612741,Chicago,Bulls,CHI,100,1610612755,Philadelphia,76ers,PHL,95,1991-1992
4,0029100005,0029100005,0029000618,1991-02-06T00:00:00,1610612738,Boston,Celtics,BOS,133,1610612766,Charlotte,Hornets,CHH,117,1991-1992
5,0029100006,0029100006,0029000904,1991-03-23T00:00:00,1610612750,Minnesota,Timberwolves,MIN,89,1610612762,Utah,Jazz,UTH,95,1991-1992
6,0029100007,0029100007,0029000820,1991-03-11T00:00:00,1610612757,Portland,Trail Blazers,POR,104,1610612739,Cleveland,Cavaliers,CLE,96,1991-1992
7,0029100008,0029100008,0029001081,1991-04-19T00:00:00,1610612760,Seattle,SuperSonics,SEA,104,1610612756,Phoenix,Suns,PHX,93,1991-1992
8,0029100009,0029100009,0029000989,1991-04-05T00:00:00,1610612754,Indiana,Pacers,IND,117,1610612764,Washington,Bullets,WAS,103,1991-1992
9,0029100010,0029100010,0029001017,1991-04-09T00:00:00,1610612765,Detroit,Pistons,DET,95,1610612749,Milwaukee,Bucks,MIL,105,1991-1992
10,0029100011,0029100011,0029000890,1991-03-21T00:00:00,1610612743,Denver,Nuggets,DEN,116,1610612744,Golden State,Warriors,GOS,136,1991-1992
11,0029100012,0029100012,0049000022,1991-04-30T00:00:00,1610612745,Houston,Rockets,HOU,90,1610612747,Los Angeles,Lakers,LAL,94,1991-1992
12,0029100013,0029100013,0029001107,1991-04-21T00:00:00,1610612743,Denver,Nuggets,DEN,125,1610612745,Houston,Rockets,HOU,131,1991-1992
13,0029100014,0029100014,0029001056,1991-04-15T00:00:00,1610612749,Milwaukee,Bucks,MIL,94,1610612741,Chicago,Bulls,CHI,103,1991-1992
14,0029100015,0029100015,0029000863,1991-03-17T00:00:00,1610612766,Charlotte,Hornets,CHH,121,1610612751,New Jersey,Nets,NJN,108,1991-1992
15,0029100016,0029100016,0029000870,1991-03-18T00:00:00,1610612755,Philadelphia,76ers,PHL,99,1610612753,Orlando,Magic,ORL,91,1991-1992
16,0029100017,0029100017,0029000811,1991-03-10T00:00:00,1610612746,Los Angeles,Clippers,LAC,93,1610612739,Cleveland,Cavaliers,CLE,98,1991-1992
17,0029100018,0029100018,0029000838,1991-03-14T00:00:00,1610612748,Miami,Heat,MIA,121,1610612752,New York,Knicks,NYK,125,1991-1992
18,0029100019,0029100019,0029001099,1991-04-21T00:00:00,1610612757,Portland,Trail Blazers,POR,118,1610612756,Phoenix,Suns,PHX,135,1991-1992
19,0029100020,0029100020,0049000033,1991-05-05T00:00:00,1610612737,Atlanta,Hawks,ATL,81,1610612765,Detroit,Pistons,DET,113,1991-1992
20,0029100021,0029100021,0029000997,1991-04-06T00:00:00,1610612744,Golden State,Warriors,GOS,108,1610612758,Sacramento,Kings,SAC,119,1991-1992
21,0029100022,0029100022,0029000887,1991-03-20T00:00:00,1610612764,Washington,Bullets,WAS,81,1610612738,Boston,Celtics,BOS,102,1991-1992
22,0029100023,0029100023,0029000505,1991-01-19T00:00:00,1610612754,Indiana,Pacers,IND,117,1610612762,Utah,Jazz,UTH,104,1991-1992
23,0029100024,0029100024,0029001059,1991-04-15T00:00:00,1610612742,Dallas,Mavericks,DAL,106,1610612747,Los Angeles,Lakers,LAL,112,1991-1992
24,0029100025,0029100025,0029001036,1991-04-12T00:00:00,1610612760,Seattle,SuperSonics,SEA,100,1610612759,San Antonio,Spurs,SAN,99,1991-1992
25,0029100026,0029100026,0029000871,1991-03-18T00:00:00,1610612756,Phoenix,Suns,PHX,111,1610612754,Indiana,Pacers,IND,103,1991-1992
26,0029100027,0029100027,0029000356,1990-12-27T00:00:00,1610612741,Chicago,Bulls,CHI,128,1610612744,Golden State,Warriors,GOS,113,1991-1992
27,0029100028,0029100028,0029000876,1991-03-19T00:00:00,1610612747,Los Angeles,Lakers,LAL,119,1610612746,Los Angeles,Clippers,LAC,105,1991-1992
28,0029100029,0029100029,0029001068,1991-04-16T00:00:00,1610612745,Houston,Rockets,HOU,96,1610612757,Portland,Trail Blazers,POR,115,1991-1992
29,0029100030,0029100030,0029000642,1991-02-13T00:00:00,1610612742,Dallas,Mavericks,DAL,93,1610612739,Cleveland,Cavaliers,CLE,95,1991-1992
30,0029100031,0029100031,0029001041,1991-04-12T00:00:00,1610612764,Washington,Bullets,WAS,95,1610612755,Philadelphia,76ers,PHL,85,1991-1992
31,0029100032,0029100032,0029001039,1991-04-12T00:00:00,1610612748,Miami,Heat,MIA,109,1610612738,Boston,Celtics,BOS,119,1991-1992
32,0029100033,0029100033,0029000966,1991-04-02T00:00:00,1610612765,Detroit,Pistons,DET,83,1610612766,Charlotte,Hornets,CHH,78,1991-1992
33,0029100034,0029100034,0029000866,1991-03-17T00:00:00,1610612752,New York,Knicks,NYK,101,1610612749,Milwaukee,Bucks,MIL,102,1991-1992
34,0029100035,0029100035,0029000563,1991-01-29T00:00:00,1610612737,Atlanta,Hawks,ATL,105,1610612762,Utah,Jazz,UTH,116,1991-1992
35,0029100036,0029100036,0029001086,1991-04-19T00:00:00,1610612743,Denver,Nuggets,DEN,125,1610612759,San Antonio,Spurs,SAN,122,1991-1992
36,0029100037,0029100037,0029000973,1991-04-03T00:00:00,1610612760,Seattle,SuperSonics,SEA,106,1610612758,Sacramento,Kings,SAC,91,1991-1992
37,0029100038,0029100038,0029001073,1991-04-17T00:00:00,1610612766,Charlotte,Hornets,CHH,123,1610612737,Atlanta,Hawks,ATL,111,1991-1992
38,0029100039,0029100039,0029000837,1991-03-14T00:00:00,1610612758,Sacramento,Kings,SAC,103,1610612754,Indiana,Pacers,IND,107,1991-1992
39,0029100040,0029100040,0029000540,1991-01-25T00:00:00,1610612749,Milwaukee,Bucks,MIL,98,1610612744,Golden State,Warriors,GOS,127,1991-1992
40,0029100041,0029100041,0029000926,1991-03-26T00:00:00,1610612755,Philadelphia,76ers,PHL,95,1610612751,New Jersey,Nets,NJN,98,1991-1992
41,0029100042,0029100042,0029001070,1991-04-17T00:00:00,1610612750,Minnesota,Timberwolves,MIN,100,1610612742,Dallas,Mavericks,DAL,102,1991-1992
42,0029100043,0029100043,0029001071,1991-04-17T00:00:00,1610612746,Los Angeles,Clippers,LAC,100,1610612756,Phoenix,Suns,PHX,105,1991-1992
43,0029100044,0029100044,0029000962,1991-03-31T00:00:00,1610612738,Boston,Celtics,BOS,135,1610612741,Chicago,Bulls,CHI,132,1991-1992
44,0029100045,0029100045,0029001028,1991-04-10T00:00:00,1610612759,San Antonio,Spurs,SAN,100,1610612757,Portland,Trail Blazers,POR,105,1991-1992
45,0029100046,0029100046,0029001083,1991-04-19T00:00:00,1610612753,Orlando,Magic,ORL,112,1610612764,Washington,Bullets,WAS,107,1991-1992
46,0029100047,0029100047,0029000626,1991-02-07T00:00:00,1610612745,Houston,Rockets,HOU,96,1610612739,Cleveland,Cavaliers,CLE,92,1991-1992
47,0029100048,0029100048,0029001096,1991-04-20T00:00:00,1610612751,New Jersey,Nets,NJN,118,1610612748,Miami,Heat,MIA,103,1991-1992
48,0029100049,0029100049,0029000983,1991-04-04T00:00:00,1610612743,Denver,Nuggets,DEN,122,1610612750,Minnesota,Timberwolves,MIN,134,1991-1992
49,0029100050,0029100050,0029100003,1991-11-01T00:00:00,1610612752,New York,Knicks,NYK,96,1610612753,Orlando,Magic,ORL,106,1991-1992
50,0029100051,0029100051,0029001077,1991-04-18T00:00:00,1610612762,Utah,Jazz,UTH,130,1610612760,Seattle,SuperSonics,SEA,103,1991-1992
51,0029100052,0029100052,0029000259,1990-12-11T00:00:00,1610612757,Portland,Trail Blazers,POR,122,1610612754,Indiana,Pacers,IND,96,1991-1992
52,0029100053,0029100053,0029000664,1991-02-16T00:00:00,1610612755,Philadelphia,76ers,PHL,124,1610612744,Golden State,Warriors,GOS,133,1991-1992
53,0029100054,0029100054,0029001034,1991-04-12T00:00:00,1610612746,Los Angeles,Clippers,LAC,146,1610612743,Denver,Nuggets,DEN,130,1991-1992
54,0029100055,0029100055,0029001004,1991-04-07T00:00:00,1610612756,Phoenix,Suns,PHX,85,1610612747,Los Angeles,Lakers,LAL,93,1991-1992
55,0029100056,0029100056,0029000749,1991-03-01T00:00:00,1610612741,Chicago,Bulls,CHI,109,1610612742,Dallas,Mavericks,DAL,86,1991-1992
56,0029100057,0029100057,0029000532,1991-01-24T00:00:00,1610612759,San Antonio,Spurs,SAN,111,1610612739,Cleveland,Cavaliers,CLE,103,1991-1992
57,0029100058,0029100058,0029001105,1991-04-21T00:00:00,1610612738,Boston,Celtics,BOS,105,1610612737,Atlanta,Hawks,ATL,117,1991-1992
58,0029100059,0029100059,0029000806,1991-03-09T00:00:00,1610612766,Charlotte,Hornets,CHH,107,1610612749,Milwaukee,Bucks,MIL,98,1991-1992
59,0029100060,0029100060,0029000974,1991-04-03T00:00:00,1610612762,Utah,Jazz,UTH,99,1610612746,Los Angeles,Clippers,LAC,97,1991-1992
60,0029100061,0029100061,0029000896,1991-03-22T00:00:00,1610612751,New Jersey,Nets,NJN,93,1610612765,Detroit,Pistons,DET,109,1991-1992
61,0029100062,0029100062,0029000224,1990-12-05T00:00:00,1610612764,Washington,Bullets,WAS,104,1610612744,Golden State,Warriors,GOS,98,1991-1992
62,0029100063,0029100063,0029000907,1991-03-23T00:00:00,1610612737,Atlanta,Hawks,ATL,108,1610612748,Miami,Heat,MIA,93,1991-1992
63,0029100064,0029100064,0029001057,1991-04-15T00:00:00,1610612758,Sacramento,Kings,SAC,94,1610612750,Minnesota,Timberwolves,MIN,112,1991-1992
64,0029100065,0029100065,0029000595,1991-02-02T00:00:00,1610612760,Seattle,SuperSonics,SEA,100,1610612754,Indiana,Pacers,IND,106,1991-1992
65,0029100066,0029100066,0029001093,1991-04-20T00:00:00,1610612752,New York,Knicks,NYK,108,1610612766,Charlotte,Hornets,CHH,102,1991-1992
66,0029100067,0029100067,0029000851,1991-03-15T00:00:00,1610612745,Houston,Rockets,HOU,135,1610612756,Phoenix,Suns,PHX,128,1991-1992
67,0029100068,0029100068,0029000964,1991-04-02T00:00:00,1610612741,Chicago,Bulls,CHI,106,1610612753,Orlando,Magic,ORL,102,1991-1992
68,0029100069,0029100069,0029000392,1991-01-03T00:00:00,1610612749,Milwaukee,Bucks,MIL,97,1610612742,Dallas,Mavericks,DAL,87,1991-1992
69,0029100070,0029100070,0029000785,1991-03-05T00:00:00,1610612747,Los Angeles,Lakers,LAL,85,1610612750,Minnesota,Timberwolves,MIN,94,1991-1992
70,0029100071,0029100071,0029000812,1991-03-10T00:00:00,1610612757,Portland,Trail Blazers,POR,109,1610612738,Boston,Celtics,BOS,111,1991-1992
71,0029100072,0029100072,0029000585,1991-02-01T00:00:00,1610612765,Detroit,Pistons,DET,80,1610612764,Washington,Bullets,WAS,75,1991-1992
72,0029100073,0029100073,0049000019,1991-04-30T00:00:00,1610612755,Philadelphia,76ers,PHL,121,1610612749,Milwaukee,Bucks,MIL,100,1991-1992
73,0029100074,0029100074,0029000849,1991-03-15T00:00:00,1610612746,Los Angeles,Clippers,LAC,109,1610612754,Indiana,Pacers,IND,121,1991-1992
74,0029100075,0029100075,0029001063,1991-04-16T00:00:00,1610612762,Utah,Jazz,UTH,111,1610612758,Sacramento,Kings,SAC,101,1991-1992
75,0029100076,0029100076,0029000829,1991-03-12T00:00:00,1610612758,Sacramento,Kings,SAC,95,1610612738,Boston,Celtics,BOS,110,1991-1992
76,0029100077,0029100077,0029100046,1991-11-06T00:00:00,1610612764,Washington,Bullets,WAS,88,1610612753,Orlando,Magic,ORL,105,1991-1992
77,0029100078,0029100078,0029001088,1991-04-19T00:00:00,1610612742,Dallas,Mavericks,DAL,113,1610612745,Houston,Rockets,HOU,107,1991-1992
78,0029100079,0029100079,0029000694,1991-02-21T00:00:00,1610612757,Portland,Trail Blazers,POR,122,1610612743,Denver,Nuggets,DEN,111,1991-1992
79,0029100080,0029100080,0029000951,1991-03-30T00:00:00,1610612752,New York,Knicks,NYK,130,1610612751,New Jersey,Nets,NJN,117,1991-1992
80,0029100081,0029100081,0029100038,1991-11-06T00:00:00,1610612737,Atlanta,Hawks,ATL,104,1610612766,Charlotte,Hornets,CHH,114,1991-1992
81,0029100082,0029100082,0049000061,1991-05-27T00:00:00,1610612741,Chicago,Bulls,CHI,115,1610612765,Detroit,Pistons,DET,94,1991-1992
82,0029100083,0029100083,0029000840,1991-03-14T00:00:00,1610612739,Cleveland,Cavaliers,CLE,103,1610612749,Milwaukee,Bucks,MIL,101,1991-1992
83,0029100084,0029100084,0029001013,1991-04-09T00:00:00,1610612744,Golden State,Warriors,GOS,106,1610612756,Phoenix,Suns,PHX,120,1991-1992
84,0029100085,0029100085,0029000748,1991-02-28T00:00:00,1610612748,Miami,Heat,MIA,100,1610612765,Detroit,Pistons,DET,98,1991-1992
85,0029100086,0029100086,0029000592,1991-02-02T00:00:00,1610612751,New Jersey,Nets,NJN,103,1610612762,Utah,Jazz,UTH,111,1991-1992
86,0029100087,0029100087,0029001066,1991-04-16T00:00:00,1610612759,San Antonio,Spurs,SAN,128,1610612746,Los Angeles,Clippers,LAC,98,1991-1992
87,0029100088,0029100088,0029000687,1991-02-19T00:00:00,1610612756,Phoenix,Suns,PHX,109,1610612738,Boston,Celtics,BOS,105,1991-1992
88,0029100089,0029100089,0029001087,1991-04-19T00:00:00,1610612766,Charlotte,Hornets,CHH,99,1610612741,Chicago,Bulls,CHI,115,1991-1992
89,0029100090,0029100090,0029001100,1991-04-21T00:00:00,1610612750,Minnesota,Timberwolves,MIN,89,1610612764,Washington,Bullets,WAS,87,1991-1992
90,0029100091,0029100091,0029001085,1991-04-19T00:00:00,1610612754,Indiana,Pacers,IND,130,1610612752,New York,Knicks,NYK,118,1991-1992
91,0029100092,0029100092,0029100016,1991-11-02T00:00:00,1610612753,Orlando,Magic,ORL,122,1610612755,Philadelphia,76ers,PHL,115,1991-1992
92,0029100093,0029100093,0029000783,1991-03-05T00:00:00,1610612739,Cleveland,Cavaliers,CLE,113,1610612760,Seattle,SuperSonics,SEA,111,1991-1992
93,0029100094,0029100094,0029000725,1991-02-25T00:00:00,1610612758,Sacramento,Kings,SAC,88,1610612737,Atlanta,Hawks,ATL,96,1991-1992
94,0029100095,0029100095,0029000944,1991-03-29T00:00:00,1610612742,Dallas,Mavericks,DAL,96,1610612746,Los Angeles,Clippers,LAC,105,1991-1992
95,0029100096,0029100096,0049000051,1991-05-14T00:00:00,1610612744,Golden State,Warriors,GOS,119,1610612747,Los Angeles,Lakers,LAL,124,1991-1992
96,0029100097,0029100097,0029000751,1991-03-01T00:00:00,1610612765,Detroit,Pistons,DET,92,1610612762,Utah,Jazz,UTH,94,1991-1992
97,0029100098,0029100098,0029000858,1991-03-16T00:00:00,1610612756,Phoenix,Suns,PHX,128,1610612737,Atlanta,Hawks,ATL,116,1991-1992
