,GID,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,SEASON
0,0021000001,1152,Dan,Crawford,43,2010-2011
1,0021000001,1146,Tony,Brothers,25,2010-2011
2,0021000001,101283,Brian,Forte,45,2010-2011
3,0021000002,1179,Rodney,Mott,71,2010-2011
4,0021000002,1194,Bill,Spooner,22,2010-2011
5,0021000002,1185,Violet,Palmer,12,2010-2011
6,0021000003,1662,Bill,Kennedy,55,2010-2011
7,0021000003,1664,Gary,Zielinski,59,2010-2011
8,0021000003,1363,Bennie,Adams,47,2010-2011
9,0021000004,1193,Michael,Smith,38,2010-2011
10,0021000004,1154,Bob,Delaney,26,2010-2011
11,0021000004,201637,Haywoode,Workman,66,2010-2011
12,0021000005,2001,Jason,Phillips,23,2010-2011
13,0021000005,1153,Joe,Crawford,17,2010-2011
14,0021000005,201639,Josh,Tiven,58,2010-2011
15,0021000006,1148,James,Capers,19,2010-2011
16,0021000006,1201,Leon,Wood,40,2010-2011
17,0021000006,200834,Mark,Lindsay,53,2010-2011
18,0021000007,1188,Leroy,Richardson,20,2010-2011
19,0021000007,201640,Kane,Fitzgerald,35,2010-2011
20,0021000007,1167,Steve,Javie,29,2010-2011
21,0021000008,1147,Mike,Callahan,24,2010-2011
22,0021000008,2882,Sean,Wright,65,2010-2011
23,0021000008,2716,Olandis,Poole,50,2010-2011
24,0021000009,1195,Derrick,Stafford,9,2010-2011
25,0021000009,2534,Zach,Zarba,33,2010-2011
26,0021000009,2532,Eli,Roe,44,2010-2011
27,0021000010,1162,Scott,Foster,48,2010-2011
28,0021000010,2005,Matt,Boland,46,2010-2011
29,0021000010,201246,Kevin,Cutler,34,2010-2011
30,0021000011,1174,Ken,Mauer,41,2010-2011
31,0021000011,2004,Courtney,Kirkland,61,2010-2011
32,0021000011,201638,Brent,Barnaky,70,2010-2011
33,0021000012,1164,Ron,Garretson,10,2010-2011
34,0021000012,2529,Tony,Brown,6,2010-2011
35,0021000012,2714,David,Guthrie,16,2010-2011
36,0021000013,2002,Derrick,Collins,11,2010-2011
37,0021000013,1198,Scott,Wall,31,2010-2011
38,0021000013,1142,Dick,Bavetta,27,2010-2011
39,0021000014,1662,Bill,Kennedy,55,2010-2011
40,0021000014,1363,Bennie,Adams,47,2010-2011
41,0021000014,202007,Nick,Buchert,54,2010-2011
42,0021000015,2003,Pat,Fraher,52,2010-2011
43,0021000015,2148,Mark,Ayotte,56,2010-2011
44,0021000015,1200,Greg,Willard,57,2010-2011
45,0021000016,1199,Tom,Washington,49,2010-2011
46,0021000016,1176,Monty,McCutchen,13,2010-2011
47,0021000016,2878,Tommy,Nunez Jr.,28,2010-2011
48,0021000017,1152,Dan,Crawford,43,2010-2011
49,0021000017,1146,Tony,Brothers,25,2010-2011
50,0021000017,201246,Kevin,Cutler,34,2010-2011
51,0021000018,1199,Tom,Washington,49,2010-2011
52,0021000018,1176,Monty,McCutchen,13,2010-2011
53,0021000018,1204,Derek,Richardson,63,2010-2011
54,0021000019,2001,Jason,Phillips,23,2010-2011
55,0021000019,1168,David,Jones,36,2010-2011
56,0021000019,201640,Kane,Fitzgerald,35,2010-2011
57,0021000020,1193,Michael,Smith,38,2010-2011
58,0021000020,1179,Rodney,Mott,71,2010-2011
59,0021000020,101283,Brian,Forte,45,2010-2011
60,0021000021,101284,John,Goble,30,2010-2011
61,0021000021,1154,Bob,Delaney,26,2010-2011
62,0021000021,201637,Haywoode,Workman,66,2010-2011
63,0021000022,2530,Ed,Malloy,14,2010-2011
64,0021000022,2004,Courtney,Kirkland,61,2010-2011
65,0021000022,2532,Eli,Roe,44,2010-2011
66,0021000023,1147,Mike,Callahan,24,2010-2011
67,0021000023,1201,Leon,Wood,40,2010-2011
68,0021000023,201639,Josh,Tiven,58,2010-2011
69,0021000024,1830,Marc,Davis,8,2010-2011
70,0021000024,2882,Sean,Wright,65,2010-2011
71,0021000024,200833,Eric,Dalen,75,2010-2011
72,0021000025,1162,Scott,Foster,48,2010-2011
73,0021000025,2005,Matt,Boland,46,2010-2011
74,0021000025,1198,Scott,Wall,31,2010-2011
75,0021000026,1164,Ron,Garretson,10,2010-2011
76,0021000026,2714,David,Guthrie,16,2010-2011
77,0021000026,201245,Marat,Kogut,68,2010-2011
78,0021000027,2715,Eric,Lewis,42,2010-2011
79,0021000027,1194,Bill,Spooner,22,2010-2011
80,0021000027,202058,James,Williams,60,2010-2011
81,0021000028,1174,Ken,Mauer,41,2010-2011
82,0021000028,2002,Derrick,Collins,11,2010-2011
83,0021000028,202007,Nick,Buchert,54,2010-2011
84,0021000029,1662,Bill,Kennedy,55,2010-2011
85,0021000029,1664,Gary,Zielinski,59,2010-2011
86,0021000029,1363,Bennie,Adams,47,2010-2011
87,0021000030,2003,Pat,Fraher,52,2010-2011
88,0021000030,1153,Joe,Crawford,17,2010-2011
89,0021000030,2878,Tommy,Nunez Jr.,28,2010-2011
