,GID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO,SEASON
0,0021500001,00,1610612765,DET,Detroit,36,16,10,19,2,4,0,15,10,19,2015-2016
1,0021500001,00,1610612737,ATL,Atlanta,42,6,15,5,2,4,0,15,4,20,2015-2016
2,0021500002,00,1610612741,CHI,Chicago,32,13,15,13,3,2,0,13,11,15,2015-2016
3,0021500002,00,1610612739,CLE,Cleveland,42,12,13,6,3,2,1,11,12,13,2015-2016
4,0021500003,00,1610612740,NOP,New Orleans,40,8,18,2,6,3,1,19,16,26,2015-2016
5,0021500003,00,1610612744,GSW,Golden State,54,21,13,23,6,3,0,20,8,29,2015-2016
6,0021500004,00,1610612764,WAS,Washington,30,12,17,9,11,6,1,18,11,15,2015-2016
7,0021500004,00,1610612753,ORL,Orlando,46,18,12,8,10,6,2,16,12,14,2015-2016
8,0021500005,00,1610612755,PHI,Philadelphia,52,14,7,9,2,2,2,24,4,34,2015-2016
9,0021500005,00,1610612738,BOS,Boston,52,16,26,20,2,2,0,17,8,18,2015-2016
10,0021500006,00,1610612741,CHI,Chicago,42,9,10,19,0,0,1,20,10,22,2015-2016
11,0021500006,00,1610612751,BKN,Brooklyn,46,15,8,0,0,0,0,13,5,12,2015-2016
12,0021500007,00,1610612762,UTA,Utah,50,3,2,7,22,10,0,12,9,8,2015-2016
13,0021500007,00,1610612765,DET,Detroit,38,7,6,9,23,10,2,12,9,17,2015-2016
14,0021500008,00,1610612766,CHA,Charlotte,42,13,8,7,6,4,1,9,6,11,2015-2016
15,0021500008,00,1610612748,MIA,Miami,40,5,15,20,6,4,0,13,6,19,2015-2016
16,0021500009,00,1610612754,IND,Indiana,36,10,20,16,4,6,0,13,8,12,2015-2016
17,0021500009,00,1610612761,TOR,Toronto,46,22,9,12,4,6,1,21,17,18,2015-2016
18,0021500010,00,1610612745,HOU,Houston,42,12,11,0,0,0,1,17,9,15,2015-2016
19,0021500010,00,1610612743,DEN,Denver,42,6,9,20,0,0,0,21,9,26,2015-2016
20,0021500011,00,1610612763,MEM,Memphis,36,7,8,2,3,1,0,16,7,23,2015-2016
21,0021500011,00,1610612739,CLE,Cleveland,48,14,26,32,3,1,0,19,7,12,2015-2016
22,0021500012,00,1610612749,MIL,Milwaukee,38,23,8,7,4,3,0,18,10,25,2015-2016
23,0021500012,00,1610612752,NYK,New York,50,17,19,25,4,3,0,11,10,14,2015-2016
24,0021500013,00,1610612759,SAS,San Antonio,52,12,10,8,12,11,0,13,7,16,2015-2016
25,0021500013,00,1610612760,OKC,Oklahoma City,44,17,7,6,12,11,0,19,7,13,2015-2016
