,GID,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,GAME_DATE_EST,HOME_TEAM_WINS,HOME_TEAM_LOSSES,SERIES_LEADER,SEASON
0,0029100001,0029100001,1610612758,1610612746,1991-11-01T00:00:00,3,2,Sacramento,1991-1992
1,0029100002,0029100002,1610612759,1610612742,1991-11-01T00:00:00,5,0,San Antonio,1991-1992
2,0029100003,0029100003,1610612753,1610612752,1991-11-01T00:00:00,1,4,New York,1991-1992
3,0029100004,0029100004,1610612741,1610612755,1991-11-01T00:00:00,3,1,Chicago,1991-1992
4,0029100005,0029100005,1610612738,1610612766,1991-11-01T00:00:00,3,1,Boston,1991-1992
5,0029100006,0029100006,1610612750,1610612762,1991-11-01T00:00:00,2,3,Utah,1991-1992
6,0029100007,0029100007,1610612757,1610612739,1991-11-01T00:00:00,2,0,Portland,1991-1992
7,0029100008,0029100008,1610612760,1610612756,1991-11-01T00:00:00,2,3,Phoenix,1991-1992
8,0029100009,0029100009,1610612754,1610612764,1991-11-01T00:00:00,2,2,Tied,1991-1992
9,0029100010,0029100010,1610612765,1610612749,1991-11-01T00:00:00,3,2,Detroit,1991-1992
10,0029100011,0029100011,1610612743,1610612744,1991-11-01T00:00:00,0,4,Golden State,1991-1992
11,0029100012,0029100012,1610612745,1610612747,1991-11-01T00:00:00,2,2,Tied,1991-1992
12,0029100013,0029100013,1610612743,1610612745,1991-11-02T00:00:00,2,3,Houston,1991-1992
13,0029100014,0029100014,1610612749,1610612741,1991-11-02T00:00:00,2,3,Chicago,1991-1992
14,0029100015,0029100015,1610612766,1610612751,1991-11-02T00:00:00,1,3,New Jersey,1991-1992
15,0029100016,0029100016,1610612755,1610612753,1991-11-02T00:00:00,2,3,Orlando,1991-1992
16,0029100017,0029100017,1610612746,1610612739,1991-11-02T00:00:00,1,1,Tied,1991-1992
17,0029100018,0029100018,1610612748,1610612752,1991-11-02T00:00:00,1,4,New York,1991-1992
18,0029100019,0029100019,1610612757,1610612756,1991-11-02T00:00:00,2,3,Phoenix,1991-1992
19,0029100020,0029100020,1610612737,1610612765,1991-11-02T00:00:00,1,4,Detroit,1991-1992
20,0029100021,0029100021,1610612744,1610612758,1991-11-02T00:00:00,5,0,Golden State,1991-1992
21,0029100022,0029100022,1610612764,1610612738,1991-11-02T00:00:00,1,3,Boston,1991-1992
22,0029100023,0029100023,1610612754,1610612762,1991-11-02T00:00:00,1,1,Tied,1991-1992
23,0029100024,0029100024,1610612742,1610612747,1991-11-02T00:00:00,0,4,L.A. Lakers,1991-1992
24,0029100025,0029100025,1610612760,1610612759,1991-11-03T00:00:00,1,3,San Antonio,1991-1992
25,0029100026,0029100026,1610612756,1610612754,1991-11-05T00:00:00,1,1,Tied,1991-1992
26,0029100027,0029100027,1610612741,1610612744,1991-11-05T00:00:00,1,1,Tied,1991-1992
27,0029100028,0029100028,1610612747,1610612746,1991-11-05T00:00:00,3,2,L.A. Lakers,1991-1992
28,0029100029,0029100029,1610612745,1610612757,1991-11-05T00:00:00,3,1,Houston,1991-1992
29,0029100030,0029100030,1610612742,1610612739,1991-11-05T00:00:00,1,1,Tied,1991-1992
30,0029100031,0029100031,1610612764,1610612755,1991-11-05T00:00:00,0,5,Philadelphia,1991-1992
31,0029100032,0029100032,1610612748,1610612738,1991-11-05T00:00:00,2,3,Boston,1991-1992
32,0029100033,0029100033,1610612765,1610612766,1991-11-05T00:00:00,4,1,Detroit,1991-1992
33,0029100034,0029100034,1610612752,1610612749,1991-11-05T00:00:00,3,1,New York,1991-1992
34,0029100035,0029100035,1610612737,1610612762,1991-11-05T00:00:00,1,1,Tied,1991-1992
35,0029100036,0029100036,1610612743,1610612759,1991-11-05T00:00:00,1,4,San Antonio,1991-1992
36,0029100037,0029100037,1610612760,1610612758,1991-11-05T00:00:00,4,1,Seattle,1991-1992
37,0029100038,0029100038,1610612766,1610612737,1991-11-06T00:00:00,2,2,Tied,1991-1992
38,0029100039,0029100039,1610612758,1610612754,1991-11-06T00:00:00,1,1,Tied,1991-1992
39,0029100040,0029100040,1610612749,1610612744,1991-11-06T00:00:00,0,2,Golden State,1991-1992
40,0029100041,0029100041,1610612755,1610612751,1991-11-06T00:00:00,2,3,New Jersey,1991-1992
41,0029100042,0029100042,1610612750,1610612742,1991-11-06T00:00:00,2,3,Dallas,1991-1992
42,0029100043,0029100043,1610612746,1610612756,1991-11-06T00:00:00,3,2,L.A. Clippers,1991-1992
43,0029100044,0029100044,1610612738,1610612741,1991-11-06T00:00:00,1,3,Chicago,1991-1992
44,0029100045,0029100045,1610612759,1610612757,1991-11-06T00:00:00,2,2,Tied,1991-1992
45,0029100046,0029100046,1610612753,1610612764,1991-11-06T00:00:00,2,3,Washington,1991-1992
46,0029100047,0029100047,1610612745,1610612739,1991-11-07T00:00:00,1,1,Tied,1991-1992
47,0029100048,0029100048,1610612751,1610612748,1991-11-07T00:00:00,2,2,Tied,1991-1992
48,0029100049,0029100049,1610612743,1610612750,1991-11-07T00:00:00,2,3,Minnesota,1991-1992
49,0029100050,0029100050,1610612752,1610612753,1991-11-07T00:00:00,4,1,New York,1991-1992
50,0029100051,0029100051,1610612762,1610612760,1991-11-07T00:00:00,1,3,Seattle,1991-1992
51,0029100052,0029100052,1610612757,1610612754,1991-11-08T00:00:00,2,0,Portland,1991-1992
52,0029100053,0029100053,1610612755,1610612744,1991-11-08T00:00:00,1,1,Tied,1991-1992
