,GID,GAME_DATE,ATTENDANCE,GAME_TIME,SEASON
0,0020100001,"TUESDAY, OCTOBER 30, 2001",17748,2:03,2001-2002
1,0020100002,"TUESDAY, OCTOBER 30, 2001",19763,2:27,2001-2002
2,0020100003,"TUESDAY, OCTOBER 30, 2001",8749,2:22,2001-2002
3,0020100004,"TUESDAY, OCTOBER 30, 2001",16088,2:26,2001-2002
4,0020100005,"TUESDAY, OCTOBER 30, 2001",18697,2:08,2001-2002
5,0020100006,"TUESDAY, OCTOBER 30, 2001",19200,2:13,2001-2002
6,0020100007,"TUESDAY, OCTOBER 30, 2001",9500,2:41,2001-2002
7,0020100008,"TUESDAY, OCTOBER 30, 2001",16803,2:13,2001-2002
8,0020100009,"TUESDAY, OCTOBER 30, 2001",18845,2:23,2001-2002
9,0020100010,"TUESDAY, OCTOBER 30, 2001",16421,2:18,2001-2002
10,0020100011,"TUESDAY, OCTOBER 30, 2001",17317,2:10,2001-2002
11,0020100012,"TUESDAY, OCTOBER 30, 2001",18997,2:30,2001-2002
12,0020100013,"WEDNESDAY, OCTOBER 31, 2001",14158,2:19,2001-2002
13,0020100014,"WEDNESDAY, OCTOBER 31, 2001",9002,2:13,2001-2002
14,0020100015,"WEDNESDAY, OCTOBER 31, 2001",16500,2:40,2001-2002
15,0020100016,"WEDNESDAY, OCTOBER 31, 2001",18163,2:10,2001-2002
16,0020100017,"WEDNESDAY, OCTOBER 31, 2001",19980,2:05,2001-2002
17,0020100018,"THURSDAY, NOVEMBER 1, 2001",20072,2:22,2001-2002
18,0020100019,"THURSDAY, NOVEMBER 1, 2001",20230,2:15,2001-2002
19,0020100020,"THURSDAY, NOVEMBER 1, 2001",19405,2:25,2001-2002
20,0020100021,"THURSDAY, NOVEMBER 1, 2001",9329,2:30,2001-2002
21,0020100022,"THURSDAY, NOVEMBER 1, 2001",18634,2:08,2001-2002
22,0020100023,"THURSDAY, NOVEMBER 1, 2001",19539,2:31,2001-2002
23,0020100024,"THURSDAY, NOVEMBER 1, 2001",15491,2:23,2001-2002
24,0020100025,"THURSDAY, NOVEMBER 1, 2001",14624,2:16,2001-2002
25,0020100026,"FRIDAY, NOVEMBER 2, 2001",19800,2:09,2001-2002
26,0020100027,"FRIDAY, NOVEMBER 2, 2001",18345,2:19,2001-2002
27,0020100028,"FRIDAY, NOVEMBER 2, 2001",14361,2:01,2001-2002
28,0020100029,"FRIDAY, NOVEMBER 2, 2001",15208,2:19,2001-2002
29,0020100030,"FRIDAY, NOVEMBER 2, 2001",13588,2:18,2001-2002
30,0020100031,"FRIDAY, NOVEMBER 2, 2001",22076,2:05,2001-2002
31,0020100032,"FRIDAY, NOVEMBER 2, 2001",16922,2:14,2001-2002
32,0020100033,"FRIDAY, NOVEMBER 2, 2001",18997,2:11,2001-2002
33,0020100034,"SATURDAY, NOVEMBER 3, 2001",20674,2:16,2001-2002
34,0020100035,"SATURDAY, NOVEMBER 3, 2001",9472,2:27,2001-2002
35,0020100036,"SATURDAY, NOVEMBER 3, 2001",16930,2:12,2001-2002
36,0020100037,"SATURDAY, NOVEMBER 3, 2001",6532,2:04,2001-2002
37,0020100038,"SATURDAY, NOVEMBER 3, 2001",15370,2:12,2001-2002
38,0020100039,"SATURDAY, NOVEMBER 3, 2001",18064,2:13,2001-2002
39,0020100040,"SATURDAY, NOVEMBER 3, 2001",18717,2:08,2001-2002
40,0020100041,"SATURDAY, NOVEMBER 3, 2001",10724,2:07,2001-2002
41,0020100042,"SATURDAY, NOVEMBER 3, 2001",15138,2:13,2001-2002
42,0020100043,"SATURDAY, NOVEMBER 3, 2001",19980,2:03,2001-2002
43,0020100044,"SATURDAY, NOVEMBER 3, 2001",19445,2:55,2001-2002
44,0020100045,"SUNDAY, NOVEMBER 4, 2001",13177,2:22,2001-2002
45,0020100046,"SUNDAY, NOVEMBER 4, 2001",18825,2:19,2001-2002
46,0020100047,"SUNDAY, NOVEMBER 4, 2001",22076,1:57,2001-2002
47,0020100048,"SUNDAY, NOVEMBER 4, 2001",13562,2:06,2001-2002
48,0020100049,"SUNDAY, NOVEMBER 4, 2001",12724,2:16,2001-2002
49,0020100050,"SUNDAY, NOVEMBER 4, 2001",17317,1:60,2001-2002
50,0020100051,"SUNDAY, NOVEMBER 4, 2001",18997,2:33,2001-2002
51,0020100052,"MONDAY, NOVEMBER 5, 2001",13723,2:39,2001-2002
52,0020100053,"MONDAY, NOVEMBER 5, 2001",13722,2:14,2001-2002
53,0020100054,"TUESDAY, NOVEMBER 6, 2001",20274,2:10,2001-2002
54,0020100055,"TUESDAY, NOVEMBER 6, 2001",14584,1:54,2001-2002
55,0020100056,"TUESDAY, NOVEMBER 6, 2001",16500,2:28,2001-2002
56,0020100057,"TUESDAY, NOVEMBER 6, 2001",16444,2:10,2001-2002
57,0020100058,"TUESDAY, NOVEMBER 6, 2001",15927,2:30,2001-2002
58,0020100059,"TUESDAY, NOVEMBER 6, 2001",16905,2:05,2001-2002
59,0020100060,"TUESDAY, NOVEMBER 6, 2001",9671,2:06,2001-2002
60,0020100061,"TUESDAY, NOVEMBER 6, 2001",12765,2:08,2001-2002
61,0020100062,"TUESDAY, NOVEMBER 6, 2001",19980,2:10,2001-2002
62,0020100063,"WEDNESDAY, NOVEMBER 7, 2001",18624,2:21,2001-2002
63,0020100064,"WEDNESDAY, NOVEMBER 7, 2001",18887,2:16,2001-2002
64,0020100065,"WEDNESDAY, NOVEMBER 7, 2001",19763,2:08,2001-2002
65,0020100066,"WEDNESDAY, NOVEMBER 7, 2001",15309,2:08,2001-2002
66,0020100067,"WEDNESDAY, NOVEMBER 7, 2001",17023,2:05,2001-2002
67,0020100068,"WEDNESDAY, NOVEMBER 7, 2001",17538,2:14,2001-2002
68,0020100069,"WEDNESDAY, NOVEMBER 7, 2001",13835,2:17,2001-2002
69,0020100070,"THURSDAY, NOVEMBER 8, 2001",9511,2:06,2001-2002
70,0020100071,"THURSDAY, NOVEMBER 8, 2001",5277,2:00,2001-2002
71,0020100072,"THURSDAY, NOVEMBER 8, 2001",18364,2:11,2001-2002
72,0020100073,"THURSDAY, NOVEMBER 8, 2001",15719,2:02,2001-2002
73,0020100074,"THURSDAY, NOVEMBER 8, 2001",17471,2:13,2001-2002
74,0020100075,"THURSDAY, NOVEMBER 8, 2001",12351,2:23,2001-2002
75,0020100076,"THURSDAY, NOVEMBER 8, 2001",13206,2:01,2001-2002
76,0020100077,"THURSDAY, NOVEMBER 8, 2001",19980,2:09,2001-2002
77,0020100078,"FRIDAY, NOVEMBER 9, 2001",20674,2:08,2001-2002
78,0020100079,"FRIDAY, NOVEMBER 9, 2001",16494,2:09,2001-2002
79,0020100080,"FRIDAY, NOVEMBER 9, 2001",15575,2:04,2001-2002
80,0020100081,"FRIDAY, NOVEMBER 9, 2001",17248,2:28,2001-2002
81,0020100082,"FRIDAY, NOVEMBER 9, 2001",11451,2:10,2001-2002
82,0020100083,"FRIDAY, NOVEMBER 9, 2001",18997,2:10,2001-2002
83,0020100084,"SATURDAY, NOVEMBER 10, 2001",5631,0:00,2001-2002
84,0020100085,"SATURDAY, NOVEMBER 10, 2001",17111,2:14,2001-2002
85,0020100086,"SATURDAY, NOVEMBER 10, 2001",19763,2:10,2001-2002
86,0020100087,"SATURDAY, NOVEMBER 10, 2001",17853,2:04,2001-2002
87,0020100088,"SATURDAY, NOVEMBER 10, 2001",18345,2:11,2001-2002
88,0020100089,"SATURDAY, NOVEMBER 10, 2001",20406,2:15,2001-2002
89,0020100090,"SATURDAY, NOVEMBER 10, 2001",18717,1:57,2001-2002
90,0020100091,"SATURDAY, NOVEMBER 10, 2001",19857,2:06,2001-2002
91,0020100092,"SATURDAY, NOVEMBER 10, 2001",20403,2:16,2001-2002
92,0020100093,"SATURDAY, NOVEMBER 10, 2001",18194,2:11,2001-2002
93,0020100094,"SUNDAY, NOVEMBER 11, 2001",20674,2:04,2001-2002
94,0020100095,"SUNDAY, NOVEMBER 11, 2001",13671,2:02,2001-2002
95,0020100096,"SUNDAY, NOVEMBER 11, 2001",13735,2:07,2001-2002
96,0020100097,"SUNDAY, NOVEMBER 11, 2001",18997,2:27,2001-2002
97,0020100098,"MONDAY, NOVEMBER 12, 2001",11126,2:20,2001-2002
98,0020100099,"MONDAY, NOVEMBER 12, 2001",18135,2:15,2001-2002
99,0020100100,"TUESDAY, NOVEMBER 13, 2001",15188,2:07,2001-2002
100,0020100101,"TUESDAY, NOVEMBER 13, 2001",19763,2:24,2001-2002
101,0020100102,"TUESDAY, NOVEMBER 13, 2001",15465,2:18,2001-2002
102,0020100103,"TUESDAY, NOVEMBER 13, 2001",13605,2:26,2001-2002
103,0020100104,"TUESDAY, NOVEMBER 13, 2001",17317,2:10,2001-2002
104,0020100105,"TUESDAY, NOVEMBER 13, 2001",15643,2:12,2001-2002
105,0020100106,"TUESDAY, NOVEMBER 13, 2001",11307,2:10,2001-2002
106,0020100107,"TUESDAY, NOVEMBER 13, 2001",10880,2:13,2001-2002
107,0020100108,"WEDNESDAY, NOVEMBER 14, 2001",14081,2:08,2001-2002
108,0020100109,"WEDNESDAY, NOVEMBER 14, 2001",20153,2:11,2001-2002
109,0020100110,"WEDNESDAY, NOVEMBER 14, 2001",20674,2:08,2001-2002
110,0020100111,"WEDNESDAY, NOVEMBER 14, 2001",12414,2:03,2001-2002
111,0020100112,"WEDNESDAY, NOVEMBER 14, 2001",8558,2:05,2001-2002
112,0020100113,"WEDNESDAY, NOVEMBER 14, 2001",17393,2:19,2001-2002
113,0020100114,"WEDNESDAY, NOVEMBER 14, 2001",14788,2:13,2001-2002
114,0020100115,"WEDNESDAY, NOVEMBER 14, 2001",18269,2:16,2001-2002
115,0020100116,"THURSDAY, NOVEMBER 15, 2001",19763,2:12,2001-2002
116,0020100117,"THURSDAY, NOVEMBER 15, 2001",13445,2:14,2001-2002
117,0020100118,"THURSDAY, NOVEMBER 15, 2001",10161,2:08,2001-2002
118,0020100119,"THURSDAY, NOVEMBER 15, 2001",16285,2:40,2001-2002
119,0020100120,"THURSDAY, NOVEMBER 15, 2001",12015,2:05,2001-2002
120,0020100121,"FRIDAY, NOVEMBER 16, 2001",20424,2:08,2001-2002
121,0020100122,"FRIDAY, NOVEMBER 16, 2001",20674,2:12,2001-2002
122,0020100123,"FRIDAY, NOVEMBER 16, 2001",17097,3:00,2001-2002
123,0020100124,"FRIDAY, NOVEMBER 16, 2001",15638,2:06,2001-2002
124,0020100125,"FRIDAY, NOVEMBER 16, 2001",15322,2:15,2001-2002
125,0020100126,"FRIDAY, NOVEMBER 16, 2001",19222,2:08,2001-2002
126,0020100127,"FRIDAY, NOVEMBER 16, 2001",19023,2:08,2001-2002
127,0020100128,"FRIDAY, NOVEMBER 16, 2001",17317,2:00,2001-2002
128,0020100129,"FRIDAY, NOVEMBER 16, 2001",11714,2:09,2001-2002
129,0020100130,"FRIDAY, NOVEMBER 16, 2001",18964,2:07,2001-2002
130,0020100131,"SATURDAY, NOVEMBER 17, 2001",10563,2:04,2001-2002
131,0020100132,"SATURDAY, NOVEMBER 17, 2001",10724,2:08,2001-2002
132,0020100133,"SATURDAY, NOVEMBER 17, 2001",22076,2:13,2001-2002
133,0020100134,"SATURDAY, NOVEMBER 17, 2001",17318,2:10,2001-2002
134,0020100135,"SATURDAY, NOVEMBER 17, 2001",19479,2:06,2001-2002
135,0020100136,"SATURDAY, NOVEMBER 17, 2001",13874,2:11,2001-2002
136,0020100137,"SATURDAY, NOVEMBER 17, 2001",18717,2:07,2001-2002
137,0020100138,"SATURDAY, NOVEMBER 17, 2001",11978,2:09,2001-2002
138,0020100139,"SATURDAY, NOVEMBER 17, 2001",13076,2:16,2001-2002
139,0020100140,"SATURDAY, NOVEMBER 17, 2001",11992,2:09,2001-2002
140,0020100141,"SUNDAY, NOVEMBER 18, 2001",17334,2:13,2001-2002
141,0020100142,"SUNDAY, NOVEMBER 18, 2001",14823,2:12,2001-2002
142,0020100143,"SUNDAY, NOVEMBER 18, 2001",18997,2:15,2001-2002
143,0020100144,"MONDAY, NOVEMBER 19, 2001",11319,2:17,2001-2002
144,0020100145,"MONDAY, NOVEMBER 19, 2001",17317,2:01,2001-2002
145,0020100146,"TUESDAY, NOVEMBER 20, 2001",20674,2:18,2001-2002
146,0020100147,"TUESDAY, NOVEMBER 20, 2001",19800,2:07,2001-2002
147,0020100148,"TUESDAY, NOVEMBER 20, 2001",15278,2:15,2001-2002
148,0020100149,"TUESDAY, NOVEMBER 20, 2001",15226,2:08,2001-2002
149,0020100150,"TUESDAY, NOVEMBER 20, 2001",18949,2:00,2001-2002
150,0020100151,"TUESDAY, NOVEMBER 20, 2001",18210,2:07,2001-2002
