,GID,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,WH_STATUS
0,0020800001,2008-10-28T00:00:00,1,0020800001,3,Final,20081028/CLEBOS,1610612738,1610612739,2008-2009,4, ,TNT,Q4   - TNT,1
1,0020800002,2008-10-28T00:00:00,2,0020800002,3,Final,20081028/MILCHI,1610612741,1610612749,2008-2009,4, ,,Q4   - ,1
2,0020800003,2008-10-28T00:00:00,3,0020800003,3,Final,20081028/PORLAL,1610612747,1610612757,2008-2009,4, ,TNT,Q4   - TNT,1
3,0020800004,2008-10-29T00:00:00,2,0020800004,3,Final,20081029/ATLORL,1610612753,1610612737,2008-2009,4, ,,Q4   - ,1
4,0020800005,2008-10-29T00:00:00,1,0020800005,3,Final,20081029/TORPHI,1610612755,1610612761,2008-2009,4, ,,Q4   - ,1
5,0020800006,2008-10-29T00:00:00,3,0020800006,3,Final,20081029/NJNWAS,1610612764,1610612751,2008-2009,4, ,,Q4   - ,1
6,0020800007,2008-10-29T00:00:00,4,0020800007,3,Final,20081029/MIANYK,1610612752,1610612748,2008-2009,4, ,,Q4   - ,1
7,0020800008,2008-10-29T00:00:00,5,0020800008,3,Final,20081029/INDDET,1610612765,1610612754,2008-2009,4, ,,Q4   - ,1
8,0020800009,2008-10-29T00:00:00,6,0020800009,3,Final,20081029/SACMIN,1610612750,1610612758,2008-2009,4, ,,Q4   - ,1
9,0020800010,2008-10-29T00:00:00,7,0020800010,3,Final,20081029/MILOKC,1610612760,1610612749,2008-2009,4, ,,Q4   - ,1
10,0020800011,2008-10-29T00:00:00,8,0020800011,3,Final,20081029/PHXSAS,1610612759,1610612756,2008-2009,4, ,ESPN,Q4   - ESPN,1
11,0020800012,2008-10-29T00:00:00,9,0020800012,3,Final,20081029/MEMHOU,1610612745,1610612763,2008-2009,4, ,,Q4   - ,1
12,0020800013,2008-10-29T00:00:00,10,0020800013,3,Final,20081029/DENUTA,1610612762,1610612743,2008-2009,4, ,,Q4   - ,1
13,0020800014,2008-10-29T00:00:00,11,0020800014,3,Final,20081029/NOHGSW,1610612744,1610612740,2008-2009,4, ,,Q4   - ,1
14,0020800015,2008-10-29T00:00:00,12,0020800015,3,Final,20081029/LALLAC,1610612746,1610612747,2008-2009,4, ,ESPN,Q4   - ESPN,1
15,0020800016,2008-10-30T00:00:00,1,0020800016,3,Final,20081030/CHACLE,1610612739,1610612766,2008-2009,4, ,,Q4   - ,1
16,0020800017,2008-10-30T00:00:00,2,0020800017,3,Final,20081030/HOUDAL,1610612742,1610612745,2008-2009,4, ,TNT,Q4   - TNT,1
17,0020800018,2008-10-30T00:00:00,3,0020800018,3,Final,20081030/NOHPHX,1610612756,1610612740,2008-2009,4, ,TNT,Q4   - TNT,1
18,0020800019,2008-10-31T00:00:00,1,0020800019,3,Final,20081031/NYKPHI,1610612755,1610612752,2008-2009,4, ,,Q4   - ,1
19,0020800020,2008-10-31T00:00:00,2,0020800020,3,Final,20081031/GSWTOR,1610612761,1610612744,2008-2009,5, ,,Q5   - ,1
20,0020800021,2008-10-31T00:00:00,3,0020800021,3,Final,20081031/SACMIA,1610612748,1610612758,2008-2009,4, ,,Q4   - ,1
21,0020800022,2008-10-31T00:00:00,4,0020800022,3,Final,20081031/CHIBOS,1610612738,1610612741,2008-2009,4, ,ESPN,Q4   - ESPN,1
22,0020800023,2008-10-31T00:00:00,5,0020800023,3,Final,20081031/ORLMEM,1610612763,1610612753,2008-2009,4, ,,Q4   - ,1
23,0020800024,2008-10-31T00:00:00,6,0020800024,3,Final,20081031/DENLAC,1610612746,1610612743,2008-2009,5, ,,Q5   - ,1
24,0020800025,2008-10-31T00:00:00,7,0020800025,3,Final,20081031/SASPOR,1610612757,1610612759,2008-2009,4, ,ESPN,Q4   - ESPN,1
25,0020800026,2008-11-01T00:00:00,1,0020800026,3,Final,20081101/PHIATL,1610612737,1610612755,2008-2009,4, ,,Q4   - ,1
