,GID,GAME_ID,LAST_GAME_ID,LAST_GAME_DATE_EST,LAST_GAME_HOME_TEAM_ID,LAST_GAME_HOME_TEAM_CITY,LAST_GAME_HOME_TEAM_NAME,LAST_GAME_HOME_TEAM_ABBREVIATION,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_VISITOR_TEAM_ID,LAST_GAME_VISITOR_TEAM_CITY,LAST_GAME_VISITOR_TEAM_NAME,LAST_GAME_VISITOR_TEAM_CITY1,LAST_GAME_VISITOR_TEAM_POINTS,SEASON
0,0021300001,0021300001,0021201004,2013-03-19T00:00:00,1610612754,Indiana,Pacers,IND,95,1610612753,Orlando,Magic,ORL,73,2013-2014
1,0021300002,0021300002,0041200205,2013-05-15T00:00:00,1610612748,Miami,Heat,MIA,94,1610612741,Chicago,Bulls,CHI,91,2013-2014
2,0021300003,0021300003,0021201146,2013-04-07T00:00:00,1610612747,Los Angeles,Lakers,LAL,95,1610612746,Los Angeles,Clippers,LAC,109,2013-2014
3,0021300004,0021300004,0021201114,2013-04-03T00:00:00,1610612739,Cleveland,Cavaliers,CLE,95,1610612751,Brooklyn,Nets,BKN,113,2013-2014
4,0021300005,0021300005,0021201140,2013-04-06T00:00:00,1610612755,Philadelphia,76ers,PHI,87,1610612748,Miami,Heat,MIA,106,2013-2014
5,0021300006,0021300006,0011300058,2013-10-16T00:00:00,1610612761,Toronto,Raptors,TOR,99,1610612738,Boston,Celtics,BOS,97,2013-2014
6,0021300007,0021300007,0011300090,2013-10-22T00:00:00,1610612765,Detroit,Pistons,DET,99,1610612764,Washington,Wizards,WAS,96,2013-2014
7,0021300008,0021300008,0011300097,2013-10-23T00:00:00,1610612752,New York,Knicks,NYK,95,1610612749,Milwaukee,Bucks,MIL,105,2013-2014
8,0021300009,0021300009,0021200699,2013-02-02T00:00:00,1610612745,Houston,Rockets,HOU,109,1610612766,Charlotte,Bobcats,CHA,95,2013-2014
9,0021300010,0021300010,0021200350,2012-12-17T00:00:00,1610612750,Minnesota,Timberwolves,MIN,93,1610612753,Orlando,Magic,ORL,102,2013-2014
10,0021300011,0021300011,0021200393,2012-12-22T00:00:00,1610612740,New Orleans,Pelicans,NOP,75,1610612754,Indiana,Pacers,IND,81,2013-2014
11,0021300012,0021300012,0011300101,2013-10-23T00:00:00,1610612742,Dallas,Mavericks,DAL,98,1610612737,Atlanta,Hawks,ATL,88,2013-2014
12,0021300013,0021300013,0041200314,2013-05-27T00:00:00,1610612759,San Antonio,Spurs,SAS,93,1610612763,Memphis,Grizzlies,MEM,86,2013-2014
13,0021300014,0021300014,0011300082,2013-10-20T00:00:00,1610612762,Utah,Jazz,UTA,82,1610612760,Oklahoma City,Thunder,OKC,88,2013-2014
14,0021300015,0021300015,0011300025,2013-10-09T00:00:00,1610612756,Phoenix,Suns,PHX,104,1610612757,Portland,Trail Blazers,POR,98,2013-2014
15,0021300016,0021300016,0021201037,2013-03-23T00:00:00,1610612758,Sacramento,Kings,SAC,95,1610612743,Denver,Nuggets,DEN,101,2013-2014
16,0021300017,0021300017,0011300072,2013-10-18T00:00:00,1610612744,Golden State,Warriors,GSW,115,1610612747,Los Angeles,Lakers,LAL,89,2013-2014
17,0021300018,0021300018,0021201174,2013-04-11T00:00:00,1610612741,Chicago,Bulls,CHI,118,1610612752,New York,Knicks,NYK,111,2013-2014
18,0021300019,0021300019,0021200610,2013-01-21T00:00:00,1610612746,Los Angeles,Clippers,LAC,99,1610612744,Golden State,Warriors,GSW,106,2013-2014
19,0021300020,0021300020,0011300104,2013-10-24T00:00:00,1610612766,Charlotte,Bobcats,CHA,105,1610612739,Cleveland,Cavaliers,CLE,92,2013-2014
20,0021300021,0021300021,0011300108,2013-10-25T00:00:00,1610612753,Orlando,Magic,ORL,82,1610612740,New Orleans,Pelicans,NOP,101,2013-2014
21,0021300022,0021300022,0021201177,2013-04-12T00:00:00,1610612764,Washington,Wizards,WAS,86,1610612755,Philadelphia,76ers,PHI,97,2013-2014
22,0021300023,0021300023,0021201213,2013-04-16T00:00:00,1610612737,Atlanta,Hawks,ATL,96,1610612761,Toronto,Raptors,TOR,113,2013-2014
23,0021300024,0021300024,0021200382,2012-12-21T00:00:00,1610612738,Boston,Celtics,BOS,94,1610612749,Milwaukee,Bucks,MIL,99,2013-2014
24,0021300025,0021300025,0011300087,2013-10-21T00:00:00,1610612745,Houston,Rockets,HOU,100,1610612742,Dallas,Mavericks,DAL,95,2013-2014
25,0021300026,0021300026,0021200792,2013-02-19T00:00:00,1610612763,Memphis,Grizzlies,MEM,105,1610612765,Detroit,Pistons,DET,91,2013-2014
26,0021300027,0021300027,0021201081,2013-03-29T00:00:00,1610612750,Minnesota,Timberwolves,MIN,101,1610612760,Oklahoma City,Thunder,OKC,93,2013-2014
27,0021300028,0021300028,0011300113,2013-10-25T00:00:00,1610612751,Brooklyn,Nets,BKN,108,1610612748,Miami,Heat,MIA,87,2013-2014
28,0021300029,0021300029,0021201198,2013-04-14T00:00:00,1610612743,Denver,Nuggets,DEN,118,1610612757,Portland,Trail Blazers,POR,109,2013-2014
29,0021300030,0021300030,0021201068,2013-03-27T00:00:00,1610612756,Phoenix,Suns,PHX,88,1610612762,Utah,Jazz,UTA,103,2013-2014
