,GID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO,SEASON
0,0020700001,00,1610612759,SAS,San Antonio,58,22,14,16,1,5,1,9,8,11.0,2007-2008
1,0020700001,00,1610612757,POR,Portland,30,12,12,2,1,5,1,17,9,22.0,2007-2008
2,0020700002,00,1610612747,LAL,Los Angeles,46,9,19,11,3,4,0,12,18,16.0,2007-2008
3,0020700002,00,1610612745,HOU,Houston,36,12,16,14,3,4,1,19,8,20.0,2007-2008
4,0020700003,00,1610612744,GSW,Golden State,42,6,19,5,5,4,0,20,9,23.0,2007-2008
5,0020700003,00,1610612762,UTA,Utah,54,25,3,24,5,4,0,19,10,21.0,2007-2008
6,0020700004,00,1610612761,TOR,Toronto,34,20,2,22,4,8,1,11,6,18.0,2007-2008
7,0020700004,00,1610612755,PHI,Philadelphia,44,18,17,3,4,8,1,18,10,18.0,2007-2008
8,0020700005,00,1610612753,ORL,Orlando,26,9,13,28,10,9,0,10,9,11.0,2007-2008
9,0020700005,00,1610612749,MIL,Milwaukee,18,17,7,7,10,9,1,15,14,20.0,2007-2008
10,0020700006,00,1610612764,WAS,Washington,32,17,14,8,25,18,0,18,14,22.0,2007-2008
11,0020700006,00,1610612754,IND,Indiana,28,18,9,11,25,18,0,17,10,22.0,2007-2008
12,0020700007,00,1610612741,CHI,Chicago,34,17,13,3,10,9,0,16,11,19.0,2007-2008
13,0020700007,00,1610612751,NJN,New Jersey,28,23,21,17,10,9,0,17,14,24.0,2007-2008
14,0020700008,00,1610612742,DAL,Dallas,32,4,15,25,0,1,0,16,8,16.0,2007-2008
15,0020700008,00,1610612739,CLE,Cleveland,30,20,6,0,0,1,2,17,7,12.0,2007-2008
16,0020700009,00,1610612763,MEM,Memphis,42,4,24,6,16,17,0,14,9,17.0,2007-2008
17,0020700009,00,1610612759,SAS,San Antonio,30,7,11,7,16,17,0,9,9,13.0,2007-2008
18,0020700010,00,1610612740,NOH,New Orleans,36,12,12,26,1,2,1,20,10,25.0,2007-2008
19,0020700010,00,1610612758,SAC,Sacramento,38,9,7,2,1,2,0,15,3,12.0,2007-2008
20,0020700011,00,1610612743,DEN,Denver,52,17,35,24,8,4,1,16,9,18.0,2007-2008
21,0020700011,00,1610612760,SEA,Seattle,54,13,25,7,8,4,2,21,15,29.0,2007-2008
22,0020700012,00,1610612765,DET,Detroit,32,10,10,15,5,1,2,12,11,10.0,2007-2008
23,0020700012,00,1610612748,MIA,Miami,34,11,11,8,5,1,0,17,9,28.0,2007-2008
24,0020700013,00,1610612762,UTA,Utah,40,20,14,12,1,4,0,20,11,24.0,2007-2008
25,0020700013,00,1610612745,HOU,Houston,36,13,14,14,1,4,0,14,6,12.0,2007-2008
26,0020700014,00,1610612760,SEA,Seattle,46,14,21,9,12,13,0,18,8,27.0,2007-2008
27,0020700014,00,1610612756,PHX,Phoenix,40,8,22,11,12,13,1,20,7,21.0,2007-2008
28,0020700015,00,1610612766,CHA,Charlotte,54,13,10,10,6,11,1,19,15,14.0,2007-2008
29,0020700015,00,1610612749,MIL,Milwaukee,54,12,10,3,6,11,0,19,9,17.0,2007-2008
30,0020700016,00,1610612765,DET,Detroit,38,10,11,25,6,10,0,13,7,10.0,2007-2008
31,0020700016,00,1610612753,ORL,Orlando,40,4,12,6,6,10,0,12,11,18.0,2007-2008
32,0020700017,00,1610612748,MIA,Miami,28,15,10,7,11,9,2,19,14,24.0,2007-2008
33,0020700017,00,1610612754,IND,Indiana,32,12,9,8,11,9,0,14,7,16.0,2007-2008
34,0020700018,00,1610612761,TOR,Toronto,22,6,12,42,3,2,0,12,9,13.0,2007-2008
35,0020700018,00,1610612751,NJN,New Jersey,26,8,4,7,3,2,0,19,7,24.0,2007-2008
36,0020700019,00,1610612737,ATL,Atlanta,38,13,11,16,17,12,0,15,4,18.0,2007-2008
37,0020700019,00,1610612742,DAL,Dallas,50,6,13,3,17,12,0,10,5,12.0,2007-2008
38,0020700020,00,1610612752,NYK,New York,48,20,12,9,16,14,0,11,18,4.0,2007-2008
39,0020700020,00,1610612739,CLE,Cleveland,34,21,23,8,16,14,0,13,10,16.0,2007-2008
40,0020700021,00,1610612738,BOS,Boston,40,16,11,27,6,2,0,15,11,9.0,2007-2008
41,0020700021,00,1610612764,WAS,Washington,36,16,8,4,6,2,0,20,9,24.0,2007-2008
42,0020700022,00,1610612757,POR,Portland,26,8,11,0,0,0,0,13,7,10.0,2007-2008
43,0020700022,00,1610612740,NOH,New Orleans,40,13,6,29,0,0,1,12,5,15.0,2007-2008
44,0020700023,00,1610612743,DEN,Denver,34,11,17,8,4,5,1,19,11,14.0,2007-2008
45,0020700023,00,1610612750,MIN,Minnesota,34,12,2,13,4,5,0,12,7,10.0,2007-2008
46,0020700024,00,1610612741,CHI,Chicago,36,15,5,2,4,4,1,16,14,16.0,2007-2008
47,0020700024,00,1610612755,PHI,Philadelphia,42,19,25,12,4,4,0,20,12,11.0,2007-2008
48,0020700025,00,1610612759,SAS,San Antonio,32,12,16,29,0,0,0,19,5,20.0,2007-2008
49,0020700025,00,1610612758,SAC,Sacramento,30,11,10,0,0,0,0,14,9,17.0,2007-2008
50,0020700026,00,1610612756,PHX,Phoenix,30,6,15,6,1,2,1,14,6,16.0,2007-2008
51,0020700026,00,1610612747,LAL,Los Angeles,44,12,8,33,1,2,1,21,5,22.0,2007-2008
52,0020700027,00,1610612746,LAC,Los Angeles,40,15,14,16,5,7,0,18,8,23.0,2007-2008
53,0020700027,00,1610612744,GSW,Golden State,64,15,10,5,5,7,0,10,8,19.0,2007-2008
54,0020700028,00,1610612755,PHI,Philadelphia,32,10,19,6,3,3,0,14,9,13.0,2007-2008
55,0020700028,00,1610612751,NJN,New Jersey,28,7,11,10,3,3,3,19,13,13.0,2007-2008
56,0020700029,00,1610612764,WAS,Washington,30,26,9,5,7,4,0,15,9,19.0,2007-2008
57,0020700029,00,1610612753,ORL,Orlando,34,12,6,13,7,4,1,14,6,14.0,2007-2008
58,0020700030,00,1610612754,IND,Indiana,38,16,13,16,0,0,0,17,4,26.0,2007-2008
59,0020700030,00,1610612763,MEM,Memphis,40,10,19,0,0,0,0,27,13,36.0,2007-2008
60,0020700031,00,1610612741,CHI,Chicago,32,9,8,12,9,7,0,19,9,14.0,2007-2008
61,0020700031,00,1610612749,MIL,Milwaukee,16,8,7,12,9,7,1,16,9,12.0,2007-2008
62,0020700032,00,1610612745,HOU,Houston,40,25,2,22,0,0,0,10,6,8.0,2007-2008
63,0020700032,00,1610612757,POR,Portland,22,12,10,0,0,0,0,18,8,8.0,2007-2008
