,GID,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,GAME_DATE_EST,HOME_TEAM_WINS,HOME_TEAM_LOSSES,SERIES_LEADER,SEASON
0,0020800001,0020800001,1610612738,1610612739,2008-10-28T00:00:00,2,2,Tied,2008-2009
1,0020800002,0020800002,1610612741,1610612749,2008-10-28T00:00:00,3,1,Chicago,2008-2009
2,0020800003,0020800003,1610612747,1610612757,2008-10-28T00:00:00,2,2,Tied,2008-2009
3,0020800004,0020800004,1610612753,1610612737,2008-10-29T00:00:00,3,1,Orlando,2008-2009
4,0020800005,0020800005,1610612755,1610612761,2008-10-29T00:00:00,2,2,Tied,2008-2009
5,0020800006,0020800006,1610612764,1610612751,2008-10-29T00:00:00,2,2,Tied,2008-2009
6,0020800007,0020800007,1610612752,1610612748,2008-10-29T00:00:00,1,2,Miami,2008-2009
7,0020800008,0020800008,1610612765,1610612754,2008-10-29T00:00:00,2,2,Tied,2008-2009
8,0020800009,0020800009,1610612750,1610612758,2008-10-29T00:00:00,1,3,Sacramento,2008-2009
9,0020800010,0020800010,1610612760,1610612749,2008-10-29T00:00:00,0,2,Milwaukee,2008-2009
10,0020800011,0020800011,1610612759,1610612756,2008-10-29T00:00:00,3,1,San Antonio,2008-2009
11,0020800012,0020800012,1610612745,1610612763,2008-10-29T00:00:00,2,2,Tied,2008-2009
12,0020800013,0020800013,1610612762,1610612743,2008-10-29T00:00:00,2,2,Tied,2008-2009
13,0020800014,0020800014,1610612744,1610612740,2008-10-29T00:00:00,2,2,Tied,2008-2009
14,0020800015,0020800015,1610612746,1610612747,2008-10-29T00:00:00,0,4,L.A. Lakers,2008-2009
15,0020800016,0020800016,1610612739,1610612766,2008-10-30T00:00:00,3,0,Cleveland,2008-2009
16,0020800017,0020800017,1610612742,1610612745,2008-10-30T00:00:00,2,2,Tied,2008-2009
17,0020800018,0020800018,1610612756,1610612740,2008-10-30T00:00:00,1,2,New Orleans,2008-2009
18,0020800019,0020800019,1610612755,1610612752,2008-10-31T00:00:00,4,0,Philadelphia,2008-2009
19,0020800020,0020800020,1610612761,1610612744,2008-10-31T00:00:00,1,1,Tied,2008-2009
20,0020800021,0020800021,1610612748,1610612758,2008-10-31T00:00:00,2,0,Miami,2008-2009
21,0020800022,0020800022,1610612738,1610612741,2008-10-31T00:00:00,2,1,Boston,2008-2009
22,0020800023,0020800023,1610612763,1610612753,2008-10-31T00:00:00,1,1,Tied,2008-2009
23,0020800024,0020800024,1610612746,1610612743,2008-10-31T00:00:00,0,4,Denver,2008-2009
24,0020800025,0020800025,1610612757,1610612759,2008-10-31T00:00:00,3,1,Portland,2008-2009
25,0020800026,0020800026,1610612737,1610612755,2008-11-01T00:00:00,1,2,Philadelphia,2008-2009
26,0020800027,0020800027,1610612766,1610612748,2008-11-01T00:00:00,1,3,Miami,2008-2009
27,0020800028,0020800028,1610612754,1610612738,2008-11-01T00:00:00,1,3,Boston,2008-2009
28,0020800029,0020800029,1610612753,1610612758,2008-11-01T00:00:00,2,0,Orlando,2008-2009
29,0020800030,0020800030,1610612765,1610612764,2008-11-01T00:00:00,3,1,Detroit,2008-2009
30,0020800031,0020800031,1610612751,1610612744,2008-11-01T00:00:00,0,2,Golden State,2008-2009
31,0020800032,0020800032,1610612750,1610612742,2008-11-01T00:00:00,0,4,Dallas,2008-2009
32,0020800033,0020800033,1610612740,1610612739,2008-11-01T00:00:00,1,1,Tied,2008-2009
